IDSUCURSAL;NITPROVEEDOR;FECHAEXP;FECHAEST;FECHAENTEGA;ESTADO
61;10000061;19/08/2017;24/08/2017;23/08/2017;Entregado
62;10000062;20/08/2017;25/08/2017;;Espera
63;10000063;21/08/2017;26/08/2017;;Espera
64;10000064;22/08/2017;27/08/2017;;Espera
65;10000065;23/08/2017;28/08/2017;27/08/2017;Entregado
66;10000066;24/08/2017;29/08/2017;28/08/2017;Entregado
67;10000067;25/08/2017;30/08/2017;;Espera
68;10000068;26/08/2017;31/08/2017;30/08/2017;Entregado
69;10000069;27/08/2017;1/09/2017;;Espera
70;10000070;28/08/2017;2/09/2017;1/09/2017;Entregado
71;10000071;29/08/2017;3/09/2017;;Espera
72;10000072;30/08/2017;4/09/2017;3/09/2017;Entregado
73;10000073;31/08/2017;5/09/2017;4/09/2017;Entregado
74;10000074;1/09/2017;6/09/2017;;Espera
75;10000075;2/09/2017;7/09/2017;6/09/2017;Entregado
76;10000076;3/09/2017;8/09/2017;;Espera
77;10000077;4/09/2017;9/09/2017;8/09/2017;Entregado
78;10000078;5/09/2017;10/09/2017;;Espera
79;10000079;6/09/2017;11/09/2017;10/09/2017;Entregado
80;10000080;7/09/2017;12/09/2017;11/09/2017;Entregado
81;10000081;8/09/2017;13/09/2017;12/09/2017;Entregado
82;10000082;9/09/2017;14/09/2017;13/09/2017;Entregado
83;10000083;10/09/2017;15/09/2017;14/09/2017;Entregado
84;10000084;11/09/2017;16/09/2017;15/09/2017;Entregado
85;10000085;12/09/2017;17/09/2017;16/09/2017;Entregado
86;10000086;13/09/2017;18/09/2017;17/09/2017;Entregado
87;10000087;14/09/2017;19/09/2017;;Espera
88;10000088;15/09/2017;20/09/2017;;Espera
89;10000089;16/09/2017;21/09/2017;;Espera
90;10000090;17/09/2017;22/09/2017;21/09/2017;Entregado
91;10000091;18/09/2017;23/09/2017;;Espera
92;10000092;19/09/2017;24/09/2017;;Espera
93;10000093;20/09/2017;25/09/2017;;Espera
94;10000094;21/09/2017;26/09/2017;;Espera
95;10000095;22/09/2017;27/09/2017;;Espera
96;10000096;23/09/2017;28/09/2017;27/09/2017;Entregado
97;10000097;24/09/2017;29/09/2017;28/09/2017;Entregado
98;10000098;25/09/2017;30/09/2017;;Espera
99;10000099;26/09/2017;1/10/2017;;Espera
100;10000100;27/09/2017;2/10/2017;1/10/2017;Entregado
101;10000101;28/09/2017;3/10/2017;;Espera
102;10000102;29/09/2017;4/10/2017;;Espera
103;10000103;30/09/2017;5/10/2017;;Espera
104;10000104;1/10/2017;6/10/2017;;Espera
105;10000105;2/10/2017;7/10/2017;6/10/2017;Entregado
106;10000106;3/10/2017;8/10/2017;;Espera
107;10000107;4/10/2017;9/10/2017;;Espera
108;10000108;5/10/2017;10/10/2017;9/10/2017;Entregado
109;10000109;6/10/2017;11/10/2017;;Espera
110;10000110;7/10/2017;12/10/2017;11/10/2017;Entregado
111;10000111;8/10/2017;13/10/2017;12/10/2017;Entregado
112;10000112;9/10/2017;14/10/2017;;Espera
113;10000113;10/10/2017;15/10/2017;;Espera
114;10000114;11/10/2017;16/10/2017;;Espera
115;10000115;12/10/2017;17/10/2017;;Espera
116;10000116;13/10/2017;18/10/2017;;Espera
117;10000117;14/10/2017;19/10/2017;;Espera
118;10000118;15/10/2017;20/10/2017;19/10/2017;Entregado
119;10000119;16/10/2017;21/10/2017;20/10/2017;Entregado
120;10000120;17/10/2017;22/10/2017;;Espera
121;10000121;18/10/2017;23/10/2017;;Espera
122;10000122;19/10/2017;24/10/2017;;Espera
123;10000123;20/10/2017;25/10/2017;;Espera
124;10000124;21/10/2017;26/10/2017;25/10/2017;Entregado
125;10000125;22/10/2017;27/10/2017;26/10/2017;Entregado
126;10000126;23/10/2017;28/10/2017;27/10/2017;Entregado
127;10000127;24/10/2017;29/10/2017;;Espera
128;10000128;25/10/2017;30/10/2017;;Espera
129;10000129;26/10/2017;31/10/2017;;Espera
130;10000130;27/10/2017;1/11/2017;31/10/2017;Entregado
131;10000131;28/10/2017;2/11/2017;1/11/2017;Entregado
132;10000132;29/10/2017;3/11/2017;;Espera
133;10000133;30/10/2017;4/11/2017;3/11/2017;Entregado
134;10000134;31/10/2017;5/11/2017;4/11/2017;Entregado
135;10000135;1/11/2017;6/11/2017;;Espera
136;10000136;2/11/2017;7/11/2017;6/11/2017;Entregado
137;10000137;3/11/2017;8/11/2017;;Espera
138;10000138;4/11/2017;9/11/2017;;Espera
139;10000139;5/11/2017;10/11/2017;9/11/2017;Entregado
140;10000140;6/11/2017;11/11/2017;;Espera
141;10000141;7/11/2017;12/11/2017;;Espera
142;10000142;8/11/2017;13/11/2017;12/11/2017;Entregado
143;10000143;9/11/2017;14/11/2017;;Espera
144;10000144;10/11/2017;15/11/2017;;Espera
145;10000145;11/11/2017;16/11/2017;15/11/2017;Entregado
146;10000146;12/11/2017;17/11/2017;16/11/2017;Entregado
147;10000147;13/11/2017;18/11/2017;17/11/2017;Entregado
148;10000148;14/11/2017;19/11/2017;18/11/2017;Entregado
149;10000149;15/11/2017;20/11/2017;19/11/2017;Entregado
150;10000150;16/11/2017;21/11/2017;20/11/2017;Entregado
1;10000151;17/11/2017;22/11/2017;21/11/2017;Entregado
2;10000152;18/11/2017;23/11/2017;;Espera
3;10000153;19/11/2017;24/11/2017;23/11/2017;Entregado
4;10000154;20/11/2017;25/11/2017;24/11/2017;Entregado
5;10000155;21/11/2017;26/11/2017;;Espera
6;10000156;22/11/2017;27/11/2017;;Espera
7;10000157;23/11/2017;28/11/2017;;Espera
8;10000158;24/11/2017;29/11/2017;28/11/2017;Entregado
9;10000159;25/11/2017;30/11/2017;29/11/2017;Entregado
10;10000160;26/11/2017;1/12/2017;;Espera
11;10000161;27/11/2017;2/12/2017;1/12/2017;Entregado
12;10000162;28/11/2017;3/12/2017;2/12/2017;Entregado
13;10000163;29/11/2017;4/12/2017;3/12/2017;Entregado
14;10000164;30/11/2017;5/12/2017;;Espera
15;10000165;1/12/2017;6/12/2017;;Espera
16;10000166;2/12/2017;7/12/2017;6/12/2017;Entregado
17;10000167;3/12/2017;8/12/2017;7/12/2017;Entregado
18;10000168;4/12/2017;9/12/2017;8/12/2017;Entregado
19;10000169;5/12/2017;10/12/2017;;Espera
20;10000170;6/12/2017;11/12/2017;;Espera
21;10000171;7/12/2017;12/12/2017;11/12/2017;Entregado
22;10000172;8/12/2017;13/12/2017;;Espera
23;10000173;9/12/2017;14/12/2017;13/12/2017;Entregado
24;10000174;10/12/2017;15/12/2017;;Espera
25;10000175;11/12/2017;16/12/2017;15/12/2017;Entregado
26;10000176;12/12/2017;17/12/2017;;Espera
27;10000177;13/12/2017;18/12/2017;17/12/2017;Entregado
28;10000178;14/12/2017;19/12/2017;;Espera
29;10000179;15/12/2017;20/12/2017;;Espera
30;10000180;16/12/2017;21/12/2017;20/12/2017;Entregado
31;10000181;17/12/2017;22/12/2017;21/12/2017;Entregado
32;10000182;18/12/2017;23/12/2017;22/12/2017;Entregado
33;10000183;19/12/2017;24/12/2017;;Espera
34;10000184;20/12/2017;25/12/2017;24/12/2017;Entregado
35;10000185;21/12/2017;26/12/2017;25/12/2017;Entregado
36;10000186;22/12/2017;27/12/2017;26/12/2017;Entregado
37;10000187;23/12/2017;28/12/2017;27/12/2017;Entregado
38;10000188;24/12/2017;29/12/2017;28/12/2017;Entregado
39;10000189;25/12/2017;30/12/2017;;Espera
40;10000190;26/12/2017;31/12/2017;30/12/2017;Entregado
41;10000191;27/12/2017;1/01/2018;31/12/2017;Entregado
42;10000192;28/12/2017;2/01/2018;;Espera
43;10000193;29/12/2017;3/01/2018;2/01/2018;Entregado
44;10000194;30/12/2017;4/01/2018;3/01/2018;Entregado
45;10000195;31/12/2017;5/01/2018;4/01/2018;Entregado
46;10000196;1/01/2018;6/01/2018;;Espera
47;10000197;2/01/2018;7/01/2018;;Espera
48;10000198;3/01/2018;8/01/2018;7/01/2018;Entregado
49;10000199;4/01/2018;9/01/2018;8/01/2018;Entregado
50;10000200;5/01/2018;10/01/2018;;Espera
51;10000201;6/01/2018;11/01/2018;10/01/2018;Entregado
52;10000202;7/01/2018;12/01/2018;;Espera
53;10000203;8/01/2018;13/01/2018;12/01/2018;Entregado
54;10000204;9/01/2018;14/01/2018;13/01/2018;Entregado
55;10000205;10/01/2018;15/01/2018;;Espera
56;10000206;11/01/2018;16/01/2018;15/01/2018;Entregado
57;10000207;12/01/2018;17/01/2018;;Espera
58;10000208;13/01/2018;18/01/2018;17/01/2018;Entregado
59;10000209;14/01/2018;19/01/2018;;Espera
60;10000210;15/01/2018;20/01/2018;;Espera
61;10000211;16/01/2018;21/01/2018;;Espera
62;10000212;17/01/2018;22/01/2018;;Espera
63;10000213;18/01/2018;23/01/2018;22/01/2018;Entregado
64;10000214;19/01/2018;24/01/2018;23/01/2018;Entregado
65;10000215;20/01/2018;25/01/2018;;Espera
66;10000216;21/01/2018;26/01/2018;;Espera
67;10000217;22/01/2018;27/01/2018;26/01/2018;Entregado
68;10000218;23/01/2018;28/01/2018;27/01/2018;Entregado
69;10000219;24/01/2018;29/01/2018;28/01/2018;Entregado
70;10000220;25/01/2018;30/01/2018;;Espera
71;10000221;26/01/2018;31/01/2018;30/01/2018;Entregado
72;10000222;27/01/2018;1/02/2018;31/01/2018;Entregado
73;10000223;28/01/2018;2/02/2018;;Espera
74;10000224;29/01/2018;3/02/2018;2/02/2018;Entregado
75;10000225;30/01/2018;4/02/2018;;Espera
76;10000226;31/01/2018;5/02/2018;;Espera
77;10000227;1/02/2018;6/02/2018;;Espera
78;10000228;2/02/2018;7/02/2018;6/02/2018;Entregado
79;10000229;3/02/2018;8/02/2018;;Espera
80;10000230;4/02/2018;9/02/2018;;Espera
81;10000231;5/02/2018;10/02/2018;9/02/2018;Entregado
82;10000232;6/02/2018;11/02/2018;10/02/2018;Entregado
83;10000233;7/02/2018;12/02/2018;;Espera
84;10000234;8/02/2018;13/02/2018;;Espera
85;10000235;9/02/2018;14/02/2018;13/02/2018;Entregado
86;10000236;10/02/2018;15/02/2018;;Espera
87;10000237;11/02/2018;16/02/2018;15/02/2018;Entregado
88;10000238;12/02/2018;17/02/2018;;Espera
89;10000239;13/02/2018;18/02/2018;;Espera
90;10000240;14/02/2018;19/02/2018;18/02/2018;Entregado
91;10000241;15/02/2018;20/02/2018;19/02/2018;Entregado
92;10000242;16/02/2018;21/02/2018;20/02/2018;Entregado
93;10000243;17/02/2018;22/02/2018;;Espera
94;10000244;18/02/2018;23/02/2018;;Espera
95;10000245;19/02/2018;24/02/2018;;Espera
96;10000246;20/02/2018;25/02/2018;;Espera
97;10000247;21/02/2018;26/02/2018;;Espera
98;10000248;22/02/2018;27/02/2018;26/02/2018;Entregado
99;10000249;23/02/2018;28/02/2018;;Espera
100;10000250;24/02/2018;1/03/2018;;Espera
101;10000251;25/02/2018;2/03/2018;1/03/2018;Entregado
102;10000252;26/02/2018;3/03/2018;;Espera
103;10000253;27/02/2018;4/03/2018;;Espera
104;10000254;28/02/2018;5/03/2018;;Espera
105;10000255;28/02/2018;5/03/2018;;Espera
106;10000256;1/03/2018;6/03/2018;5/03/2018;Entregado
107;10000257;2/03/2018;7/03/2018;;Espera
108;10000258;3/03/2018;8/03/2018;7/03/2018;Entregado
109;10000259;4/03/2018;9/03/2018;8/03/2018;Entregado
110;10000260;5/03/2018;10/03/2018;;Espera
111;10000261;6/03/2018;11/03/2018;;Espera
112;10000262;7/03/2018;12/03/2018;11/03/2018;Entregado
113;10000263;8/03/2018;13/03/2018;;Espera
114;10000264;9/03/2018;14/03/2018;13/03/2018;Entregado
115;10000265;10/03/2018;15/03/2018;;Espera
116;10000266;11/03/2018;16/03/2018;;Espera
117;10000267;12/03/2018;17/03/2018;16/03/2018;Entregado
118;10000268;13/03/2018;18/03/2018;17/03/2018;Entregado
119;10000269;14/03/2018;19/03/2018;18/03/2018;Entregado
120;10000270;15/03/2018;20/03/2018;19/03/2018;Entregado
121;10000271;16/03/2018;21/03/2018;;Espera
122;10000272;17/03/2018;22/03/2018;21/03/2018;Entregado
123;10000273;18/03/2018;23/03/2018;;Espera
124;10000274;19/03/2018;24/03/2018;;Espera
125;10000275;20/03/2018;25/03/2018;;Espera
126;10000276;21/03/2018;26/03/2018;;Espera
127;10000277;22/03/2018;27/03/2018;;Espera
128;10000278;23/03/2018;28/03/2018;27/03/2018;Entregado
129;10000279;24/03/2018;29/03/2018;;Espera
130;10000280;25/03/2018;30/03/2018;29/03/2018;Entregado
131;10000281;26/03/2018;31/03/2018;30/03/2018;Entregado
132;10000282;27/03/2018;1/04/2018;31/03/2018;Entregado
133;10000283;28/03/2018;2/04/2018;1/04/2018;Entregado
134;10000284;29/03/2018;3/04/2018;;Espera
135;10000285;30/03/2018;4/04/2018;;Espera
136;10000286;31/03/2018;5/04/2018;4/04/2018;Entregado
137;10000287;1/04/2018;6/04/2018;5/04/2018;Entregado
138;10000288;2/04/2018;7/04/2018;6/04/2018;Entregado
139;10000289;3/04/2018;8/04/2018;7/04/2018;Entregado
140;10000290;4/04/2018;9/04/2018;;Espera
141;10000291;5/04/2018;10/04/2018;9/04/2018;Entregado
142;10000292;6/04/2018;11/04/2018;;Espera
143;10000293;7/04/2018;12/04/2018;;Espera
144;10000294;8/04/2018;13/04/2018;;Espera
145;10000295;9/04/2018;14/04/2018;;Espera
146;10000296;10/04/2018;15/04/2018;;Espera
147;10000297;11/04/2018;16/04/2018;;Espera
148;10000298;12/04/2018;17/04/2018;;Espera
149;10000299;13/04/2018;18/04/2018;17/04/2018;Entregado
150;10000300;14/04/2018;19/04/2018;;Espera
1;10000001;15/04/2018;20/04/2018;;Espera
2;10000002;16/04/2018;21/04/2018;20/04/2018;Entregado
3;10000003;17/04/2018;22/04/2018;21/04/2018;Entregado
4;10000004;18/04/2018;23/04/2018;;Espera
5;10000005;19/04/2018;24/04/2018;23/04/2018;Entregado
6;10000006;20/04/2018;25/04/2018;24/04/2018;Entregado
7;10000007;21/04/2018;26/04/2018;;Espera
8;10000008;22/04/2018;27/04/2018;;Espera
9;10000009;23/04/2018;28/04/2018;;Espera
10;10000010;24/04/2018;29/04/2018;28/04/2018;Entregado
11;10000011;25/04/2018;30/04/2018;29/04/2018;Entregado
12;10000012;26/04/2018;1/05/2018;;Espera
13;10000013;27/04/2018;2/05/2018;;Espera
14;10000014;28/04/2018;3/05/2018;2/05/2018;Entregado
15;10000015;29/04/2018;4/05/2018;3/05/2018;Entregado
16;10000016;30/04/2018;5/05/2018;4/05/2018;Entregado
17;10000017;1/05/2018;6/05/2018;;Espera
18;10000018;2/05/2018;7/05/2018;;Espera
19;10000019;3/05/2018;8/05/2018;7/05/2018;Entregado
20;10000020;4/05/2018;9/05/2018;;Espera
21;10000021;5/05/2018;10/05/2018;;Espera
22;10000022;6/05/2018;11/05/2018;10/05/2018;Entregado
23;10000023;7/05/2018;12/05/2018;11/05/2018;Entregado
24;10000024;8/05/2018;13/05/2018;12/05/2018;Entregado
25;10000025;9/05/2018;14/05/2018;;Espera
26;10000026;10/05/2018;15/05/2018;14/05/2018;Entregado
27;10000027;11/05/2018;16/05/2018;;Espera
28;10000028;12/05/2018;17/05/2018;;Espera
29;10000029;13/05/2018;18/05/2018;17/05/2018;Entregado
30;10000030;14/05/2018;19/05/2018;18/05/2018;Entregado
31;10000031;15/05/2018;20/05/2018;19/05/2018;Entregado
32;10000032;16/05/2018;21/05/2018;20/05/2018;Entregado
33;10000033;17/05/2018;22/05/2018;;Espera
34;10000034;18/05/2018;23/05/2018;22/05/2018;Entregado
35;10000035;19/05/2018;24/05/2018;;Espera
36;10000036;20/05/2018;25/05/2018;;Espera
37;10000037;21/05/2018;26/05/2018;;Espera
38;10000038;22/05/2018;27/05/2018;26/05/2018;Entregado
39;10000039;23/05/2018;28/05/2018;;Espera
40;10000040;24/05/2018;29/05/2018;;Espera
41;10000041;25/05/2018;30/05/2018;;Espera
42;10000042;26/05/2018;31/05/2018;30/05/2018;Entregado
43;10000043;27/05/2018;1/06/2018;31/05/2018;Entregado
44;10000044;28/05/2018;2/06/2018;1/06/2018;Entregado
45;10000045;29/05/2018;3/06/2018;2/06/2018;Entregado
46;10000046;30/05/2018;4/06/2018;;Espera
47;10000047;31/05/2018;5/06/2018;4/06/2018;Entregado
48;10000048;1/06/2018;6/06/2018;;Espera
49;10000049;2/06/2018;7/06/2018;;Espera
50;10000050;3/06/2018;8/06/2018;7/06/2018;Entregado
51;10000051;4/06/2018;9/06/2018;;Espera
52;10000052;5/06/2018;10/06/2018;9/06/2018;Entregado
53;10000053;6/06/2018;11/06/2018;10/06/2018;Entregado
54;10000054;7/06/2018;12/06/2018;;Espera
55;10000055;8/06/2018;13/06/2018;;Espera
56;10000056;9/06/2018;14/06/2018;;Espera
57;10000057;10/06/2018;15/06/2018;;Espera
58;10000058;11/06/2018;16/06/2018;;Espera
59;10000059;12/06/2018;17/06/2018;16/06/2018;Entregado
60;10000060;13/06/2018;18/06/2018;17/06/2018;Entregado
61;10000061;14/06/2018;19/06/2018;18/06/2018;Entregado
62;10000062;15/06/2018;20/06/2018;;Espera
63;10000063;16/06/2018;21/06/2018;20/06/2018;Entregado
64;10000064;17/06/2018;22/06/2018;21/06/2018;Entregado
65;10000065;18/06/2018;23/06/2018;;Espera
66;10000066;19/06/2018;24/06/2018;23/06/2018;Entregado
67;10000067;20/06/2018;25/06/2018;;Espera
68;10000068;21/06/2018;26/06/2018;;Espera
69;10000069;22/06/2018;27/06/2018;;Espera
70;10000070;23/06/2018;28/06/2018;;Espera
71;10000071;24/06/2018;29/06/2018;28/06/2018;Entregado
72;10000072;25/06/2018;30/06/2018;;Espera
73;10000073;26/06/2018;1/07/2018;;Espera
74;10000074;27/06/2018;2/07/2018;1/07/2018;Entregado
75;10000075;28/06/2018;3/07/2018;;Espera
76;10000076;29/06/2018;4/07/2018;;Espera
77;10000077;30/06/2018;5/07/2018;;Espera
78;10000078;1/07/2018;6/07/2018;;Espera
79;10000079;2/07/2018;7/07/2018;;Espera
80;10000080;3/07/2018;8/07/2018;7/07/2018;Entregado
81;10000081;4/07/2018;9/07/2018;8/07/2018;Entregado
82;10000082;5/07/2018;10/07/2018;;Espera
83;10000083;6/07/2018;11/07/2018;;Espera
84;10000084;7/07/2018;12/07/2018;;Espera
85;10000085;8/07/2018;13/07/2018;12/07/2018;Entregado
86;10000086;9/07/2018;14/07/2018;;Espera
87;10000087;10/07/2018;15/07/2018;14/07/2018;Entregado
88;10000088;11/07/2018;16/07/2018;15/07/2018;Entregado
89;10000089;12/07/2018;17/07/2018;16/07/2018;Entregado
90;10000090;13/07/2018;18/07/2018;;Espera
91;10000091;14/07/2018;19/07/2018;;Espera
92;10000092;15/07/2018;20/07/2018;;Espera
93;10000093;16/07/2018;21/07/2018;;Espera
94;10000094;17/07/2018;22/07/2018;;Espera
95;10000095;18/07/2018;23/07/2018;22/07/2018;Entregado
96;10000096;19/07/2018;24/07/2018;;Espera
97;10000097;20/07/2018;25/07/2018;24/07/2018;Entregado
98;10000098;21/07/2018;26/07/2018;25/07/2018;Entregado
99;10000099;22/07/2018;27/07/2018;26/07/2018;Entregado
100;10000100;23/07/2018;28/07/2018;;Espera
101;10000101;24/07/2018;29/07/2018;;Espera
102;10000102;25/07/2018;30/07/2018;;Espera
103;10000103;26/07/2018;31/07/2018;30/07/2018;Entregado
104;10000104;27/07/2018;1/08/2018;31/07/2018;Entregado
105;10000105;28/07/2018;2/08/2018;;Espera
106;10000106;29/07/2018;3/08/2018;2/08/2018;Entregado
107;10000107;30/07/2018;4/08/2018;;Espera
108;10000108;31/07/2018;5/08/2018;;Espera
109;10000109;1/08/2018;6/08/2018;5/08/2018;Entregado
110;10000110;2/08/2018;7/08/2018;;Espera
111;10000111;3/08/2018;8/08/2018;;Espera
112;10000112;4/08/2018;9/08/2018;8/08/2018;Entregado
113;10000113;5/08/2018;10/08/2018;9/08/2018;Entregado
114;10000114;6/08/2018;11/08/2018;10/08/2018;Entregado
115;10000115;7/08/2018;12/08/2018;;Espera
116;10000116;8/08/2018;13/08/2018;;Espera
117;10000117;9/08/2018;14/08/2018;;Espera
118;10000118;10/08/2018;15/08/2018;;Espera
119;10000119;11/08/2018;16/08/2018;;Espera
120;10000120;12/08/2018;17/08/2018;16/08/2018;Entregado
121;10000121;13/08/2018;18/08/2018;17/08/2018;Entregado
122;10000122;14/08/2018;19/08/2018;;Espera
123;10000123;15/08/2018;20/08/2018;19/08/2018;Entregado
124;10000124;16/08/2018;21/08/2018;20/08/2018;Entregado
125;10000125;17/08/2018;22/08/2018;21/08/2018;Entregado
126;10000126;18/08/2018;23/08/2018;;Espera
127;10000127;19/08/2018;24/08/2018;23/08/2018;Entregado
128;10000128;20/08/2018;25/08/2018;;Espera
129;10000129;21/08/2018;26/08/2018;25/08/2018;Entregado
130;10000130;22/08/2018;27/08/2018;;Espera
131;10000131;23/08/2018;28/08/2018;;Espera
132;10000132;24/08/2018;29/08/2018;28/08/2018;Entregado
133;10000133;25/08/2018;30/08/2018;;Espera
134;10000134;26/08/2018;31/08/2018;;Espera
135;10000135;27/08/2018;1/09/2018;31/08/2018;Entregado
136;10000136;28/08/2018;2/09/2018;;Espera
137;10000137;29/08/2018;3/09/2018;2/09/2018;Entregado
138;10000138;30/08/2018;4/09/2018;3/09/2018;Entregado
139;10000139;31/08/2018;5/09/2018;;Espera
140;10000140;1/09/2018;6/09/2018;;Espera
141;10000141;2/09/2018;7/09/2018;;Espera
142;10000142;3/09/2018;8/09/2018;;Espera
143;10000143;4/09/2018;9/09/2018;;Espera
144;10000144;5/09/2018;10/09/2018;;Espera
145;10000145;6/09/2018;11/09/2018;;Espera
146;10000146;7/09/2018;12/09/2018;;Espera
147;10000147;8/09/2018;13/09/2018;;Espera
148;10000148;9/09/2018;14/09/2018;;Espera
149;10000149;10/09/2018;15/09/2018;;Espera
150;10000150;11/09/2018;16/09/2018;15/09/2018;Entregado
1;10000151;12/09/2018;17/09/2018;;Espera
2;10000152;13/09/2018;18/09/2018;;Espera
3;10000153;14/09/2018;19/09/2018;;Espera
4;10000154;15/09/2018;20/09/2018;19/09/2018;Entregado
5;10000155;16/09/2018;21/09/2018;;Espera
6;10000156;17/09/2018;22/09/2018;21/09/2018;Entregado
7;10000157;18/09/2018;23/09/2018;;Espera
8;10000158;19/09/2018;24/09/2018;;Espera
9;10000159;20/09/2018;25/09/2018;;Espera
10;10000160;21/09/2018;26/09/2018;;Espera
11;10000161;22/09/2018;27/09/2018;;Espera
12;10000162;23/09/2018;28/09/2018;;Espera
13;10000163;24/09/2018;29/09/2018;;Espera
14;10000164;25/09/2018;30/09/2018;;Espera
15;10000165;26/09/2018;1/10/2018;;Espera
16;10000166;27/09/2018;2/10/2018;1/10/2018;Entregado
17;10000167;28/09/2018;3/10/2018;2/10/2018;Entregado
18;10000168;29/09/2018;4/10/2018;;Espera
19;10000169;30/09/2018;5/10/2018;4/10/2018;Entregado
20;10000170;1/10/2018;6/10/2018;5/10/2018;Entregado
21;10000171;2/10/2018;7/10/2018;6/10/2018;Entregado
22;10000172;3/10/2018;8/10/2018;7/10/2018;Entregado
23;10000173;4/10/2018;9/10/2018;8/10/2018;Entregado
24;10000174;5/10/2018;10/10/2018;;Espera
25;10000175;6/10/2018;11/10/2018;10/10/2018;Entregado
26;10000176;7/10/2018;12/10/2018;11/10/2018;Entregado
27;10000177;8/10/2018;13/10/2018;;Espera
28;10000178;9/10/2018;14/10/2018;13/10/2018;Entregado
29;10000179;10/10/2018;15/10/2018;14/10/2018;Entregado
30;10000180;11/10/2018;16/10/2018;;Espera
31;10000181;12/10/2018;17/10/2018;16/10/2018;Entregado
32;10000182;13/10/2018;18/10/2018;17/10/2018;Entregado
33;10000183;14/10/2018;19/10/2018;;Espera
34;10000184;15/10/2018;20/10/2018;;Espera
35;10000185;16/10/2018;21/10/2018;20/10/2018;Entregado
36;10000186;17/10/2018;22/10/2018;;Espera
37;10000187;18/10/2018;23/10/2018;22/10/2018;Entregado
38;10000188;19/10/2018;24/10/2018;;Espera
39;10000189;20/10/2018;25/10/2018;24/10/2018;Entregado
40;10000190;21/10/2018;26/10/2018;25/10/2018;Entregado
41;10000191;22/10/2018;27/10/2018;26/10/2018;Entregado
42;10000192;23/10/2018;28/10/2018;;Espera
43;10000193;24/10/2018;29/10/2018;28/10/2018;Entregado
44;10000194;25/10/2018;30/10/2018;29/10/2018;Entregado
45;10000195;26/10/2018;31/10/2018;;Espera
46;10000196;27/10/2018;1/11/2018;;Espera
47;10000197;28/10/2018;2/11/2018;1/11/2018;Entregado
48;10000198;29/10/2018;3/11/2018;;Espera
49;10000199;30/10/2018;4/11/2018;3/11/2018;Entregado
50;10000200;31/10/2018;5/11/2018;;Espera
51;10000201;1/11/2018;6/11/2018;5/11/2018;Entregado
52;10000202;2/11/2018;7/11/2018;;Espera
53;10000203;3/11/2018;8/11/2018;7/11/2018;Entregado
54;10000204;4/11/2018;9/11/2018;8/11/2018;Entregado
55;10000205;5/11/2018;10/11/2018;9/11/2018;Entregado
56;10000206;6/11/2018;11/11/2018;;Espera
57;10000207;7/11/2018;12/11/2018;11/11/2018;Entregado
58;10000208;8/11/2018;13/11/2018;;Espera
59;10000209;9/11/2018;14/11/2018;13/11/2018;Entregado
60;10000210;10/11/2018;15/11/2018;;Espera
61;10000211;11/11/2018;16/11/2018;;Espera
62;10000212;12/11/2018;17/11/2018;16/11/2018;Entregado
63;10000213;13/11/2018;18/11/2018;;Espera
64;10000214;14/11/2018;19/11/2018;;Espera
65;10000215;15/11/2018;20/11/2018;;Espera
66;10000216;16/11/2018;21/11/2018;;Espera
67;10000217;17/11/2018;22/11/2018;21/11/2018;Entregado
68;10000218;18/11/2018;23/11/2018;22/11/2018;Entregado
69;10000219;19/11/2018;24/11/2018;;Espera
70;10000220;20/11/2018;25/11/2018;24/11/2018;Entregado
71;10000221;21/11/2018;26/11/2018;;Espera
72;10000222;22/11/2018;27/11/2018;26/11/2018;Entregado
73;10000223;23/11/2018;28/11/2018;;Espera
74;10000224;24/11/2018;29/11/2018;;Espera
75;10000225;25/11/2018;30/11/2018;;Espera
76;10000226;26/11/2018;1/12/2018;;Espera
77;10000227;27/11/2018;2/12/2018;1/12/2018;Entregado
78;10000228;28/11/2018;3/12/2018;;Espera
79;10000229;29/11/2018;4/12/2018;;Espera
80;10000230;30/11/2018;5/12/2018;;Espera
81;10000231;1/12/2018;6/12/2018;5/12/2018;Entregado
82;10000232;2/12/2018;7/12/2018;;Espera
83;10000233;3/12/2018;8/12/2018;7/12/2018;Entregado
84;10000234;4/12/2018;9/12/2018;8/12/2018;Entregado
85;10000235;5/12/2018;10/12/2018;9/12/2018;Entregado
86;10000236;6/12/2018;11/12/2018;;Espera
87;10000237;7/12/2018;12/12/2018;;Espera
88;10000238;8/12/2018;13/12/2018;12/12/2018;Entregado
89;10000239;9/12/2018;14/12/2018;;Espera
90;10000240;10/12/2018;15/12/2018;14/12/2018;Entregado
91;10000241;11/12/2018;16/12/2018;15/12/2018;Entregado
92;10000242;12/12/2018;17/12/2018;16/12/2018;Entregado
93;10000243;13/12/2018;18/12/2018;;Espera
94;10000244;14/12/2018;19/12/2018;18/12/2018;Entregado
95;10000245;15/12/2018;20/12/2018;;Espera
96;10000246;16/12/2018;21/12/2018;;Espera
97;10000247;17/12/2018;22/12/2018;;Espera
98;10000248;18/12/2018;23/12/2018;;Espera
99;10000249;19/12/2018;24/12/2018;23/12/2018;Entregado
100;10000250;20/12/2018;25/12/2018;;Espera
101;10000251;21/12/2018;26/12/2018;;Espera
102;10000252;22/12/2018;27/12/2018;;Espera
103;10000253;23/12/2018;28/12/2018;27/12/2018;Entregado
