IDSUCURSAL;CODIGOBARRAS;NOMBRE;FECHAINICIO;FECHAFIN;TIPOPROMOCION;VALOR1;VALOR2
101;1000000000400;Bigtax;6/02/2017;6/02/2019;1;7792;83
102;1000000000401;Tampflex;7/02/2017;7/02/2019;2;821;30
103;1000000000402;Zaam-Dox;8/02/2017;8/02/2019;3;7455;30
104;1000000000403;Duobam;9/02/2017;9/02/2019;4;7039;52
105;1000000000404;Namfix;10/02/2017;10/02/2019;5;4046;22
106;1000000000405;Flowdesk;11/02/2017;11/02/2019;1;3610;80
107;1000000000406;Cookley;12/02/2017;12/02/2019;2;2318;35
108;1000000000407;Trippledex;13/02/2017;13/02/2019;3;1194;5
109;1000000000408;Fintone;14/02/2017;14/02/2019;4;3726;10
110;1000000000409;Sonair;15/02/2017;15/02/2019;5;6050;3
111;1000000000410;Fixflex;16/02/2017;16/02/2019;1;254;26
112;1000000000411;Span;17/02/2017;17/02/2019;2;1805;5
113;1000000000412;Biodex;18/02/2017;18/02/2019;3;8327;17
114;1000000000413;Konklab;19/02/2017;19/02/2019;4;9621;62
115;1000000000414;Sub-Ex;20/02/2017;20/02/2019;5;4401;67
116;1000000000415;Toughjoyfax;21/02/2017;21/02/2019;1;8886;38
117;1000000000416;Namfix;22/02/2017;22/02/2019;2;7452;59
118;1000000000417;Redhold;23/02/2017;23/02/2019;3;3816;30
119;1000000000418;Stronghold;24/02/2017;24/02/2019;4;3964;86
120;1000000000419;Stringtough;25/02/2017;25/02/2019;5;110;26
121;1000000000420;Transcof;26/02/2017;26/02/2019;1;6278;21
122;1000000000421;Stronghold;27/02/2017;27/02/2019;2;3669;86
123;1000000000422;Sub-Ex;28/02/2017;28/02/2019;3;3034;85
124;1000000000423;Voyatouch;1/03/2017;1/03/2019;4;1989;96
125;1000000000424;Daltfresh;2/03/2017;2/03/2019;5;4263;22
126;1000000000425;Cookley;3/03/2017;3/03/2019;1;6238;70
127;1000000000426;Aerified;4/03/2017;4/03/2019;2;99;70
128;1000000000427;Bitchip;5/03/2017;5/03/2019;3;875;75
129;1000000000428;Aerified;6/03/2017;6/03/2019;4;8427;60
130;1000000000429;Transcof;7/03/2017;7/03/2019;5;6671;51
131;1000000000430;Solarbreeze;8/03/2017;8/03/2019;1;5109;51
132;1000000000431;Temp;9/03/2017;9/03/2019;2;7189;48
133;1000000000432;Cardify;10/03/2017;10/03/2019;3;3255;56
134;1000000000433;Domainer;11/03/2017;11/03/2019;4;7773;73
135;1000000000434;Stronghold;12/03/2017;12/03/2019;5;8128;29
136;1000000000435;Hatity;13/03/2017;13/03/2019;1;5680;90
137;1000000000436;Cardguard;14/03/2017;14/03/2019;2;8776;90
138;1000000000437;Fintone;15/03/2017;15/03/2019;3;3620;86
139;1000000000438;Bitwolf;16/03/2017;16/03/2019;4;706;45
140;1000000000439;Konklux;17/03/2017;17/03/2019;5;754;79
141;1000000000440;Voltsillam;18/03/2017;18/03/2019;1;4907;73
142;1000000000441;Kanlam;19/03/2017;19/03/2019;2;6335;55
143;1000000000442;Temp;20/03/2017;20/03/2019;3;5562;97
144;1000000000443;Toughjoyfax;21/03/2017;21/03/2019;4;5640;53
145;1000000000444;Andalax;22/03/2017;22/03/2019;5;2389;4
146;1000000000445;Tin;23/03/2017;23/03/2019;1;3838;18
147;1000000000446;Domainer;24/03/2017;24/03/2019;2;9084;81
148;1000000000447;Matsoft;25/03/2017;25/03/2019;3;4512;4
149;1000000000448;Span;26/03/2017;26/03/2019;4;2234;2
150;1000000000449;Alpha;27/03/2017;27/03/2019;5;4679;47
1;1000000000450;Temp;28/03/2017;28/03/2019;1;9813;50
2;1000000000451;Hatity;29/03/2017;29/03/2019;2;8555;54
3;1000000000452;Prodder;30/03/2017;30/03/2019;3;2282;40
4;1000000000453;Rank;31/03/2017;31/03/2019;4;377;35
5;1000000000454;Wrapsafe;1/04/2017;1/04/2019;5;7862;57
6;1000000000455;Ronstring;2/04/2017;2/04/2019;1;7691;47
7;1000000000456;Bigtax;3/04/2017;3/04/2019;2;1985;88
8;1000000000457;Voyatouch;4/04/2017;4/04/2019;3;1856;16
9;1000000000458;It;5/04/2017;5/04/2019;4;5249;25
10;1000000000459;Bitwolf;6/04/2017;6/04/2019;5;9423;69
11;1000000000460;Biodex;7/04/2017;7/04/2019;1;4519;11
12;1000000000461;Konklab;8/04/2017;8/04/2019;2;3434;41
13;1000000000462;Ronstring;9/04/2017;9/04/2019;3;3921;33
14;1000000000463;Latlux;10/04/2017;10/04/2019;4;8343;46
15;1000000000464;Zathin;11/04/2017;11/04/2019;5;4396;73
16;1000000000465;Tres-Zap;12/04/2017;12/04/2019;1;8836;49
17;1000000000466;Aerified;13/04/2017;13/04/2019;2;2608;99
18;1000000000467;Y-Solowarm;14/04/2017;14/04/2019;3;3406;54
19;1000000000468;Y-Solowarm;15/04/2017;15/04/2019;4;2201;96
20;1000000000469;Temp;16/04/2017;16/04/2019;5;5564;89
21;1000000000470;Solarbreeze;17/04/2017;17/04/2019;1;6590;64
22;1000000000471;Lotstring;18/04/2017;18/04/2019;2;4069;43
23;1000000000472;Overhold;19/04/2017;19/04/2019;3;610;59
24;1000000000473;Lotstring;20/04/2017;20/04/2019;4;8697;52
25;1000000000474;Redhold;21/04/2017;21/04/2019;5;934;0
26;1000000000475;Vagram;22/04/2017;22/04/2019;1;4234;13
27;1000000000476;Toughjoyfax;23/04/2017;23/04/2019;2;6013;24
28;1000000000477;Tampflex;24/04/2017;24/04/2019;3;6314;42
29;1000000000478;Zontrax;25/04/2017;25/04/2019;4;6333;25
30;1000000000479;Quo Lux;26/04/2017;26/04/2019;5;9499;39
31;1000000000480;Alpha;27/04/2017;27/04/2019;1;9748;26
32;1000000000481;Sonsing;28/04/2017;28/04/2019;2;9759;58
33;1000000000482;Matsoft;29/04/2017;29/04/2019;3;3828;10
34;1000000000483;Ventosanzap;30/04/2017;30/04/2019;4;4652;25
35;1000000000484;Zaam-Dox;1/05/2017;1/05/2019;5;4374;77
36;1000000000485;Tres-Zap;2/05/2017;2/05/2019;1;5300;70
37;1000000000486;Gembucket;3/05/2017;3/05/2019;2;5735;16
38;1000000000487;Cardguard;4/05/2017;4/05/2019;3;1824;9
39;1000000000488;Holdlamis;5/05/2017;5/05/2019;4;5124;39
40;1000000000489;Keylex;6/05/2017;6/05/2019;5;5286;31
41;1000000000490;Fintone;7/05/2017;7/05/2019;1;2490;89
42;1000000000491;Stim;8/05/2017;8/05/2019;2;1344;69
43;1000000000492;Flexidy;9/05/2017;9/05/2019;3;468;70
44;1000000000493;Tempsoft;10/05/2017;10/05/2019;4;9793;61
45;1000000000494;Viva;11/05/2017;11/05/2019;5;3099;73
46;1000000000495;Lotlux;12/05/2017;12/05/2019;1;4722;41
47;1000000000496;Tin;13/05/2017;13/05/2019;2;1374;59
48;1000000000497;Sub-Ex;14/05/2017;14/05/2019;3;1485;60
49;1000000000498;Otcom;15/05/2017;15/05/2019;4;6672;44
50;1000000000499;Duobam;16/05/2017;16/05/2019;5;7040;53
51;1000000000500;Opela;17/05/2017;17/05/2019;1;4219;23
52;1000000000501;Zontrax;18/05/2017;18/05/2019;2;861;57
53;1000000000502;Zaam-Dox;19/05/2017;19/05/2019;3;3104;99
54;1000000000503;Sub-Ex;20/05/2017;20/05/2019;4;8881;93
55;1000000000504;Asoka;21/05/2017;21/05/2019;5;1706;68
56;1000000000505;Flowdesk;22/05/2017;22/05/2019;1;987;94
57;1000000000506;Tresom;23/05/2017;23/05/2019;2;2063;17
58;1000000000507;Fixflex;24/05/2017;24/05/2019;3;5945;60
59;1000000000508;Redhold;25/05/2017;25/05/2019;4;8292;5
60;1000000000509;Opela;26/05/2017;26/05/2019;5;9012;55
61;1000000000510;Quo Lux;27/05/2017;27/05/2019;1;6640;9
62;1000000000511;Transcof;28/05/2017;28/05/2019;2;4868;4
63;1000000000512;Fix San;29/05/2017;29/05/2019;3;8433;50
64;1000000000513;Lotstring;30/05/2017;30/05/2019;4;9521;88
65;1000000000514;Keylex;31/05/2017;31/05/2019;5;6801;94
66;1000000000515;Tres-Zap;1/06/2017;1/06/2019;1;6704;72
67;1000000000516;Holdlamis;2/06/2017;2/06/2019;2;908;20
68;1000000000517;Temp;3/06/2017;3/06/2019;3;8386;76
69;1000000000518;Matsoft;4/06/2017;4/06/2019;4;9363;10
70;1000000000519;It;5/06/2017;5/06/2019;5;4399;45
71;1000000000520;Bitwolf;6/06/2017;6/06/2019;1;8364;0
72;1000000000521;Pannier;7/06/2017;7/06/2019;2;3780;45
73;1000000000522;Biodex;8/06/2017;8/06/2019;3;951;67
74;1000000000523;Zamit;9/06/2017;9/06/2019;4;2942;72
75;1000000000524;Fix San;10/06/2017;10/06/2019;5;3730;75
76;1000000000525;Transcof;11/06/2017;11/06/2019;1;2014;51
77;1000000000526;Konklux;12/06/2017;12/06/2019;2;3971;27
78;1000000000527;Job;13/06/2017;13/06/2019;3;4617;86
79;1000000000528;Biodex;14/06/2017;14/06/2019;4;2754;57
80;1000000000529;Veribet;15/06/2017;15/06/2019;5;9265;56
81;1000000000530;Sonair;16/06/2017;16/06/2019;1;9577;40
82;1000000000531;Bigtax;17/06/2017;17/06/2019;2;3382;70
83;1000000000532;It;18/06/2017;18/06/2019;3;9237;73
84;1000000000533;Bamity;19/06/2017;19/06/2019;4;5578;60
85;1000000000534;Keylex;20/06/2017;20/06/2019;5;1942;78
86;1000000000535;Trippledex;21/06/2017;21/06/2019;1;7024;45
87;1000000000536;Prodder;22/06/2017;22/06/2019;2;3369;97
88;1000000000537;Viva;23/06/2017;23/06/2019;3;286;33
89;1000000000538;Toughjoyfax;24/06/2017;24/06/2019;4;2355;55
90;1000000000539;Hatity;25/06/2017;25/06/2019;5;5604;56
91;1000000000540;Alpha;26/06/2017;26/06/2019;1;779;62
92;1000000000541;Hatity;27/06/2017;27/06/2019;2;6339;86
93;1000000000542;Overhold;28/06/2017;28/06/2019;3;5373;73
94;1000000000543;Temp;29/06/2017;29/06/2019;4;8035;61
95;1000000000544;Tampflex;30/06/2017;30/06/2019;5;9285;1
96;1000000000545;Y-find;1/07/2017;1/07/2019;1;6861;82
97;1000000000546;Zaam-Dox;2/07/2017;2/07/2019;2;1730;4
98;1000000000547;Sonsing;3/07/2017;3/07/2019;3;454;27
99;1000000000548;It;4/07/2017;4/07/2019;4;1360;64
100;1000000000549;Subin;5/07/2017;5/07/2019;5;8654;42
101;1000000000550;Ventosanzap;6/07/2017;6/07/2019;1;9381;13
102;1000000000551;Domainer;7/07/2017;7/07/2019;2;1657;93
103;1000000000552;Alphazap;8/07/2017;8/07/2019;3;8469;43
104;1000000000553;Home Ing;9/07/2017;9/07/2019;4;2959;24
105;1000000000554;Latlux;10/07/2017;10/07/2019;5;7864;0
106;1000000000555;Y-find;11/07/2017;11/07/2019;1;5433;25
107;1000000000556;Home Ing;12/07/2017;12/07/2019;2;1650;97
108;1000000000557;Alphazap;13/07/2017;13/07/2019;3;5846;41
109;1000000000558;Daltfresh;14/07/2017;14/07/2019;4;160;98
110;1000000000559;Alpha;15/07/2017;15/07/2019;5;1550;81
111;1000000000560;Alphazap;16/07/2017;16/07/2019;1;1362;11
112;1000000000561;Vagram;17/07/2017;17/07/2019;2;8425;46
113;1000000000562;Flexidy;18/07/2017;18/07/2019;3;4864;17
114;1000000000563;Gembucket;19/07/2017;19/07/2019;4;1355;40
115;1000000000564;Alpha;20/07/2017;20/07/2019;5;516;81
116;1000000000565;Voltsillam;21/07/2017;21/07/2019;1;6891;93
117;1000000000566;Toughjoyfax;22/07/2017;22/07/2019;2;8912;44
118;1000000000567;Veribet;23/07/2017;23/07/2019;3;712;4
119;1000000000568;Bamity;24/07/2017;24/07/2019;4;1940;21
120;1000000000569;Duobam;25/07/2017;25/07/2019;5;7316;0
121;1000000000570;Sub-Ex;26/07/2017;26/07/2019;1;6842;17
122;1000000000571;Toughjoyfax;27/07/2017;27/07/2019;2;9190;91
123;1000000000572;Flexidy;28/07/2017;28/07/2019;3;3574;84
124;1000000000573;Kanlam;29/07/2017;29/07/2019;4;2486;64
125;1000000000574;Sonair;30/07/2017;30/07/2019;5;9954;42
126;1000000000575;Zoolab;31/07/2017;31/07/2019;1;287;33
127;1000000000576;Flowdesk;1/08/2017;1/08/2019;2;787;19
128;1000000000577;Tin;2/08/2017;2/08/2019;3;5838;74
129;1000000000578;Zoolab;3/08/2017;3/08/2019;4;339;37
130;1000000000579;Cardify;4/08/2017;4/08/2019;5;1759;28
131;1000000000580;Redhold;5/08/2017;5/08/2019;1;1539;4
132;1000000000581;Zathin;6/08/2017;6/08/2019;2;3306;51
133;1000000000582;Konklab;7/08/2017;7/08/2019;3;7199;46
134;1000000000583;Daltfresh;8/08/2017;8/08/2019;4;963;57
135;1000000000584;Bitwolf;9/08/2017;9/08/2019;5;1171;60
136;1000000000585;Regrant;10/08/2017;10/08/2019;1;9684;30
137;1000000000586;Wrapsafe;11/08/2017;11/08/2019;2;9230;51
138;1000000000587;Bigtax;12/08/2017;12/08/2019;3;7659;74
139;1000000000588;Alphazap;13/08/2017;13/08/2019;4;9140;52
140;1000000000589;Wrapsafe;14/08/2017;14/08/2019;5;2813;2
141;1000000000590;Duobam;15/08/2017;15/08/2019;1;3958;36
142;1000000000591;Tres-Zap;16/08/2017;16/08/2019;2;9247;75
143;1000000000592;Holdlamis;17/08/2017;17/08/2019;3;3101;92
144;1000000000593;Fix San;18/08/2017;18/08/2019;4;5842;66
145;1000000000594;Fintone;19/08/2017;19/08/2019;5;6254;31
146;1000000000595;Subin;20/08/2017;20/08/2019;1;3652;7
147;1000000000596;Rank;21/08/2017;21/08/2019;2;5969;69
148;1000000000597;Voyatouch;22/08/2017;22/08/2019;3;6211;37
149;1000000000598;Rank;23/08/2017;23/08/2019;4;8432;39
150;1000000000599;Tempsoft;24/08/2017;24/08/2019;5;8547;54
1;1000000000600;Lotstring;25/08/2017;25/08/2019;1;3845;95
2;1000000000601;Bigtax;26/08/2017;26/08/2019;2;8569;82
3;1000000000602;Tampflex;27/08/2017;27/08/2019;3;2784;49
4;1000000000603;Fix San;28/08/2017;28/08/2019;4;4022;74
5;1000000000604;Biodex;29/08/2017;29/08/2019;5;3856;67
6;1000000000605;Alpha;30/08/2017;30/08/2019;1;1203;73
7;1000000000606;Treeflex;31/08/2017;31/08/2019;2;3468;41
8;1000000000607;Konklab;1/09/2017;1/09/2019;3;2702;76
9;1000000000608;Biodex;2/09/2017;2/09/2019;4;7784;54
10;1000000000609;Tres-Zap;3/09/2017;3/09/2019;5;9102;71
11;1000000000610;Konklab;4/09/2017;4/09/2019;1;2554;52
12;1000000000611;Cookley;5/09/2017;5/09/2019;2;5116;97
13;1000000000612;Veribet;6/09/2017;6/09/2019;3;7275;47
14;1000000000613;Prodder;7/09/2017;7/09/2019;4;3020;41
15;1000000000614;Tin;8/09/2017;8/09/2019;5;5571;29
16;1000000000615;Solarbreeze;9/09/2017;9/09/2019;1;7588;20
17;1000000000616;Home Ing;10/09/2017;10/09/2019;2;8616;46
18;1000000000617;Solarbreeze;11/09/2017;11/09/2019;3;1984;14
19;1000000000618;Hatity;12/09/2017;12/09/2019;4;1672;19
20;1000000000619;Job;13/09/2017;13/09/2019;5;8375;18
21;1000000000620;Bytecard;14/09/2017;14/09/2019;1;77;34
22;1000000000621;Subin;15/09/2017;15/09/2019;2;4547;53
23;1000000000622;Matsoft;16/09/2017;16/09/2019;3;401;75
24;1000000000623;Fintone;17/09/2017;17/09/2019;4;3113;97
25;1000000000624;Solarbreeze;18/09/2017;18/09/2019;5;6837;62
26;1000000000625;Asoka;19/09/2017;19/09/2019;1;104;47
27;1000000000626;Aerified;20/09/2017;20/09/2019;2;7097;82
28;1000000000627;Span;21/09/2017;21/09/2019;3;1904;39
29;1000000000628;Y-find;22/09/2017;22/09/2019;4;5489;16
30;1000000000629;Konklux;23/09/2017;23/09/2019;5;2615;72
31;1000000000630;Fix San;24/09/2017;24/09/2019;1;9171;15
32;1000000000631;Konklux;25/09/2017;25/09/2019;2;8755;37
33;1000000000632;Holdlamis;26/09/2017;26/09/2019;3;559;96
34;1000000000633;Otcom;27/09/2017;27/09/2019;4;7934;1
35;1000000000634;Y-find;28/09/2017;28/09/2019;5;2713;80
36;1000000000635;Y-find;29/09/2017;29/09/2019;1;6557;93
37;1000000000636;Holdlamis;30/09/2017;30/09/2019;2;1016;87
38;1000000000637;Regrant;1/10/2017;1/10/2019;3;1074;8
39;1000000000638;Cookley;2/10/2017;2/10/2019;4;2988;57
40;1000000000639;Asoka;3/10/2017;3/10/2019;5;5728;9
41;1000000000640;Konklux;4/10/2017;4/10/2019;1;3322;25
42;1000000000641;Toughjoyfax;5/10/2017;5/10/2019;2;9639;53
43;1000000000642;Wrapsafe;6/10/2017;6/10/2019;3;6996;37
44;1000000000643;Rank;7/10/2017;7/10/2019;4;5298;2
45;1000000000644;Bigtax;8/10/2017;8/10/2019;5;1578;76
46;1000000000645;Opela;9/10/2017;9/10/2019;1;2664;79
47;1000000000646;Flexidy;10/10/2017;10/10/2019;2;6814;31
48;1000000000647;Wrapsafe;11/10/2017;11/10/2019;3;9033;29
49;1000000000648;Namfix;12/10/2017;12/10/2019;4;141;15
50;1000000000649;Stronghold;13/10/2017;13/10/2019;5;5037;92
51;1000000000650;Latlux;14/10/2017;14/10/2019;1;6572;49
52;1000000000651;Transcof;15/10/2017;15/10/2019;2;2175;99
53;1000000000652;Vagram;16/10/2017;16/10/2019;3;8673;65
54;1000000000653;Konklab;17/10/2017;17/10/2019;4;9133;66
55;1000000000654;Subin;18/10/2017;18/10/2019;5;5279;13
56;1000000000655;Voyatouch;19/10/2017;19/10/2019;1;9909;29
57;1000000000656;It;20/10/2017;20/10/2019;2;486;39
58;1000000000657;Overhold;21/10/2017;21/10/2019;3;4020;70
59;1000000000658;Fixflex;22/10/2017;22/10/2019;4;7670;33
60;1000000000659;Hatity;23/10/2017;23/10/2019;5;3837;27
61;1000000000660;Overhold;24/10/2017;24/10/2019;1;1301;28
62;1000000000661;Overhold;25/10/2017;25/10/2019;2;9158;32
63;1000000000662;Zontrax;26/10/2017;26/10/2019;3;9256;76
64;1000000000663;Hatity;27/10/2017;27/10/2019;4;896;34
65;1000000000664;Span;28/10/2017;28/10/2019;5;838;83
66;1000000000665;Greenlam;29/10/2017;29/10/2019;1;3775;78
67;1000000000666;Bytecard;30/10/2017;30/10/2019;2;5402;45
68;1000000000667;Biodex;31/10/2017;31/10/2019;3;5399;42
69;1000000000668;Tempsoft;1/11/2017;1/11/2019;4;2919;53
70;1000000000669;Lotlux;2/11/2017;2/11/2019;5;3760;70
71;1000000000670;Ronstring;3/11/2017;3/11/2019;1;7935;56
72;1000000000671;Tempsoft;4/11/2017;4/11/2019;2;5126;64
73;1000000000672;Lotlux;5/11/2017;5/11/2019;3;5939;61
74;1000000000673;Fix San;6/11/2017;6/11/2019;4;8593;98
75;1000000000674;Sonsing;7/11/2017;7/11/2019;5;6367;74
76;1000000000675;Flowdesk;8/11/2017;8/11/2019;1;9992;2
77;1000000000676;Transcof;9/11/2017;9/11/2019;2;5602;73
78;1000000000677;Rank;10/11/2017;10/11/2019;3;1087;53
79;1000000000678;Y-Solowarm;11/11/2017;11/11/2019;4;4543;44
80;1000000000679;Cookley;12/11/2017;12/11/2019;5;5295;81
81;1000000000680;Stronghold;13/11/2017;13/11/2019;1;7067;75
82;1000000000681;Fixflex;14/11/2017;14/11/2019;2;2231;16
83;1000000000682;Latlux;15/11/2017;15/11/2019;3;5854;12
84;1000000000683;Holdlamis;16/11/2017;16/11/2019;4;4582;63
85;1000000000684;Mat Lam Tam;17/11/2017;17/11/2019;5;8712;9
86;1000000000685;Treeflex;18/11/2017;18/11/2019;1;4639;84
87;1000000000686;Viva;19/11/2017;19/11/2019;2;6474;52
88;1000000000687;Gembucket;20/11/2017;20/11/2019;3;5353;64
89;1000000000688;Cardguard;21/11/2017;21/11/2019;4;3730;38
90;1000000000689;Regrant;22/11/2017;22/11/2019;5;2885;32
91;1000000000690;Cardify;23/11/2017;23/11/2019;1;9952;4
92;1000000000691;Span;24/11/2017;24/11/2019;2;3437;49
93;1000000000692;Tampflex;25/11/2017;25/11/2019;3;3177;24
94;1000000000693;Keylex;26/11/2017;26/11/2019;4;514;44
95;1000000000694;Flexidy;27/11/2017;27/11/2019;5;6509;20
96;1000000000695;Namfix;28/11/2017;28/11/2019;1;6364;17
97;1000000000696;Fix San;29/11/2017;29/11/2019;2;4917;53
98;1000000000697;Fintone;30/11/2017;30/11/2019;3;3983;3
99;1000000000698;Zamit;1/12/2017;1/12/2019;4;703;53
100;1000000000699;Namfix;2/12/2017;2/12/2019;5;1624;2
101;1000000000700;Alphazap;3/12/2017;3/12/2019;1;8930;47
102;1000000000701;Sonair;4/12/2017;4/12/2019;2;3619;81
103;1000000000702;Cardguard;5/12/2017;5/12/2019;3;8994;28
104;1000000000703;Fixflex;6/12/2017;6/12/2019;4;3725;66
105;1000000000704;Job;7/12/2017;7/12/2019;5;3284;61
106;1000000000705;Temp;8/12/2017;8/12/2019;1;3374;53
107;1000000000706;Sub-Ex;9/12/2017;9/12/2019;2;6841;9
108;1000000000707;Voltsillam;10/12/2017;10/12/2019;3;4956;34
109;1000000000708;Cardguard;11/12/2017;11/12/2019;4;1503;31
110;1000000000709;Hatity;12/12/2017;12/12/2019;5;2595;86
111;1000000000710;Solarbreeze;13/12/2017;13/12/2019;1;1315;5
112;1000000000711;Otcom;14/12/2017;14/12/2019;2;9780;51
113;1000000000712;Cookley;15/12/2017;15/12/2019;3;391;39
114;1000000000713;Zamit;16/12/2017;16/12/2019;4;3006;35
115;1000000000714;Keylex;17/12/2017;17/12/2019;5;1141;82
116;1000000000715;Bamity;18/12/2017;18/12/2019;1;3188;65
117;1000000000716;Ventosanzap;19/12/2017;19/12/2019;2;1530;30
118;1000000000717;Bitchip;20/12/2017;20/12/2019;3;945;19
119;1000000000718;Cardify;21/12/2017;21/12/2019;4;8840;2
120;1000000000719;Solarbreeze;22/12/2017;22/12/2019;5;4918;49
121;1000000000720;Rank;23/12/2017;23/12/2019;1;7918;42
122;1000000000721;Bigtax;24/12/2017;24/12/2019;2;8108;35
123;1000000000722;Voyatouch;25/12/2017;25/12/2019;3;1796;6
124;1000000000723;Bitchip;26/12/2017;26/12/2019;4;5514;23
125;1000000000724;Latlux;27/12/2017;27/12/2019;5;7939;5
126;1000000000725;Stim;28/12/2017;28/12/2019;1;6545;68
127;1000000000726;Flowdesk;29/12/2017;29/12/2019;2;9498;9
128;1000000000727;Sub-Ex;30/12/2017;30/12/2019;3;9400;80
129;1000000000728;Flexidy;31/12/2017;31/12/2019;4;7927;93
130;1000000000729;Transcof;1/01/2017;1/01/2020;5;2473;77
131;1000000000730;Sonair;2/01/2017;2/01/2020;1;9367;69
132;1000000000731;Flexidy;3/01/2017;3/01/2020;2;6816;76
133;1000000000732;Rank;4/01/2017;4/01/2020;3;5227;27
134;1000000000733;Bigtax;5/01/2017;5/01/2020;4;6641;26
135;1000000000734;Bitchip;6/01/2017;6/01/2020;5;6465;44
136;1000000000735;Mat Lam Tam;7/01/2017;7/01/2020;1;7202;75
137;1000000000736;Fixflex;8/01/2017;8/01/2020;2;7222;32
138;1000000000737;Bitchip;9/01/2017;9/01/2020;3;1868;98
139;1000000000738;Quo Lux;10/01/2017;10/01/2020;4;2772;73
140;1000000000739;Temp;11/01/2017;11/01/2020;5;4828;73
141;1000000000740;Greenlam;12/01/2017;12/01/2020;1;1632;47
142;1000000000741;Veribet;13/01/2017;13/01/2020;2;1960;57
143;1000000000742;Solarbreeze;14/01/2017;14/01/2020;3;5786;37
144;1000000000743;Quo Lux;15/01/2017;15/01/2020;4;9638;26
145;1000000000744;Kanlam;16/01/2017;16/01/2020;5;8990;18
146;1000000000745;Cookley;17/01/2017;17/01/2020;1;7458;51
147;1000000000746;Tres-Zap;18/01/2017;18/01/2020;2;2157;56
148;1000000000747;Mat Lam Tam;19/01/2017;19/01/2020;3;1843;64
149;1000000000748;Daltfresh;20/01/2017;20/01/2020;4;4711;19
150;1000000000749;Alphazap;21/01/2017;21/01/2020;5;4354;29
1;1000000000750;Vagram;22/01/2017;22/01/2020;1;1498;61
2;1000000000751;Lotstring;23/01/2017;23/01/2020;2;1822;17
3;1000000000752;Tresom;24/01/2017;24/01/2020;3;9747;47
4;1000000000753;Aerified;25/01/2017;25/01/2020;4;207;96
5;1000000000754;Domainer;26/01/2017;26/01/2020;5;5184;32
6;1000000000755;Keylex;27/01/2017;27/01/2020;1;7500;75
7;1000000000756;Mat Lam Tam;28/01/2017;28/01/2020;2;8517;22
8;1000000000757;Aerified;29/01/2017;29/01/2020;3;8011;88
9;1000000000758;Veribet;30/01/2017;30/01/2020;4;1556;86
10;1000000000759;Andalax;31/01/2017;31/01/2020;5;4016;37
11;1000000000760;Solarbreeze;1/02/2017;1/02/2020;1;897;66
12;1000000000761;Home Ing;2/02/2017;2/02/2020;2;5394;47
13;1000000000762;Alpha;3/02/2017;3/02/2020;3;6755;69
14;1000000000763;Zoolab;4/02/2017;4/02/2020;4;5450;99
15;1000000000764;Mat Lam Tam;5/02/2017;5/02/2020;5;6023;79
16;1000000000765;Bytecard;6/02/2017;6/02/2020;1;341;44
17;1000000000766;Zontrax;7/02/2017;7/02/2020;2;2069;35
18;1000000000767;Trippledex;8/02/2017;8/02/2020;3;3077;71
19;1000000000768;Toughjoyfax;9/02/2017;9/02/2020;4;4892;78
20;1000000000769;Cookley;10/02/2017;10/02/2020;5;651;4
21;1000000000770;Opela;11/02/2017;11/02/2020;1;8127;0
22;1000000000771;Zaam-Dox;12/02/2017;12/02/2020;2;1282;91
23;1000000000772;Kanlam;13/02/2017;13/02/2020;3;4859;86
24;1000000000773;It;14/02/2017;14/02/2020;4;5168;84
25;1000000000774;Alpha;15/02/2017;15/02/2020;5;4847;19
26;1000000000775;Job;16/02/2017;16/02/2020;1;9810;6
27;1000000000776;Opela;17/02/2017;17/02/2020;2;950;27
28;1000000000777;Cardguard;18/02/2017;18/02/2020;3;4036;15
29;1000000000778;Hatity;19/02/2017;19/02/2020;4;3148;35
30;1000000000779;Zontrax;20/02/2017;20/02/2020;5;8830;65
31;1000000000780;Lotstring;21/02/2017;21/02/2020;1;5046;45
32;1000000000781;Zathin;22/02/2017;22/02/2020;2;9136;38
33;1000000000782;Fintone;23/02/2017;23/02/2020;3;4650;75
34;1000000000783;Y-Solowarm;24/02/2017;24/02/2020;4;6921;65
35;1000000000784;Vagram;25/02/2017;25/02/2020;5;2006;57
36;1000000000785;Viva;26/02/2017;26/02/2020;1;9436;75
37;1000000000786;Alphazap;27/02/2017;27/02/2020;2;8754;10
38;1000000000787;Flowdesk;28/02/2017;28/02/2020;3;3739;96
39;1000000000788;Fix San;1/03/2017;29/02/2020;4;2073;24
40;1000000000789;Treeflex;2/03/2017;1/03/2020;5;5852;9
41;1000000000790;Y-find;3/03/2017;2/03/2020;1;7764;49
42;1000000000791;Domainer;4/03/2017;3/03/2020;2;7442;62
43;1000000000792;Cardify;5/03/2017;4/03/2020;3;2024;37
44;1000000000793;Stronghold;6/03/2017;5/03/2020;4;5124;63
45;1000000000794;Tampflex;7/03/2017;6/03/2020;5;502;67
46;1000000000795;Zontrax;8/03/2017;7/03/2020;1;5109;59
47;1000000000796;Voyatouch;9/03/2017;8/03/2020;2;8614;96
48;1000000000797;Treeflex;10/03/2017;9/03/2020;3;6174;44
49;1000000000798;Voyatouch;11/03/2017;10/03/2020;4;839;99
50;1000000000799;Tresom;12/03/2017;11/03/2020;5;2075;86
51;1000000000800;Aerified;13/03/2017;12/03/2020;1;8043;8
52;1000000000801;Tempsoft;14/03/2017;13/03/2020;2;9919;11
