CodigoBarras;idCategoria;IdTipoProducto;Nombre;Marca;PRESENTACION;CantidadPresen;Unimedida;Volumen;Peso
1000000000699;7;7;Nombre X;Marca X;Presentacion X;6;ml;1199;114415
1000000000700;8;8;Nombre Y;Marca Y;Presentacion Y;3;gr;1200;114570
1000000000701;9;9;Nombre Z;Marca Z;Presentacion Z;8;ml;1201;114725
1000000000702;1;1;Nombre A;Marca A;Presentacion A;4;ml;1202;114880
1000000000703;2;2;Nombre B;Marca B;Presentacion B;8;gr;1203;115035
1000000000704;3;3;Nombre C;Marca C;Presentacion C;9;gr;1204;115190
1000000000705;4;4;Nombre D;Marca D;Presentacion D;5;gr;1205;115345
1000000000706;5;5;Nombre E;Marca E;Presentacion E;5;ml;1206;115500
1000000000707;6;6;Nombre F;Marca F;Presentacion F;7;gr;1207;115655
1000000000708;7;7;Nombre G;Marca G;Presentacion G;6;ml;1208;115810
1000000000709;8;8;Nombre H;Marca H;Presentacion H;10;ml;1209;115965
1000000000710;9;9;Nombre I;Marca I;Presentacion I;7;gr;1210;116120
1000000000711;1;1;Nombre J;Marca J;Presentacion J;3;ml;1211;116275
1000000000712;2;2;Nombre K;Marca K;Presentacion K;2;ml;1212;116430
1000000000713;3;3;Nombre L;Marca L;Presentacion L;9;gr;1213;116585
1000000000714;4;4;Nombre M;Marca M;Presentacion M;4;gr;1214;116740
1000000000715;5;5;Nombre N;Marca N;Presentacion N;4;gr;1215;116895
1000000000716;6;6;Nombre O;Marca O;Presentacion O;2;ml;1216;117050
1000000000717;7;7;Nombre P;Marca P;Presentacion P;2;gr;1217;117205
1000000000718;8;8;Nombre Q;Marca Q;Presentacion Q;7;ml;1218;117360
1000000000719;9;9;Nombre R;Marca R;Presentacion R;1;ml;1219;117515
1000000000720;1;1;Nombre S;Marca S;Presentacion S;3;gr;1220;117670
1000000000721;2;2;Nombre T;Marca T;Presentacion T;2;ml;1221;117825
1000000000722;3;3;Nombre U;Marca U;Presentacion U;6;ml;1222;117980
1000000000723;4;4;Nombre V;Marca V;Presentacion V;3;gr;1223;118135
1000000000724;5;5;Nombre W;Marca W;Presentacion W;5;gr;1224;118290
1000000000725;6;6;Nombre X;Marca X;Presentacion X;3;gr;1225;118445
1000000000726;7;7;Nombre Y;Marca Y;Presentacion Y;4;ml;1226;118600
1000000000727;8;8;Nombre Z;Marca Z;Presentacion Z;4;gr;1227;118755
1000000000728;9;9;Nombre A;Marca A;Presentacion A;9;ml;1228;118910
1000000000729;1;1;Nombre B;Marca B;Presentacion B;4;ml;1229;119065
1000000000730;2;2;Nombre C;Marca C;Presentacion C;7;gr;1230;119220
1000000000731;3;3;Nombre D;Marca D;Presentacion D;10;ml;1231;119375
1000000000732;4;4;Nombre E;Marca E;Presentacion E;2;ml;1232;119530
1000000000733;5;5;Nombre F;Marca F;Presentacion F;5;gr;1233;119685
1000000000734;6;6;Nombre G;Marca G;Presentacion G;6;gr;1234;119840
1000000000735;7;7;Nombre H;Marca H;Presentacion H;4;gr;1235;119995
1000000000736;8;8;Nombre I;Marca I;Presentacion I;7;ml;1236;120150
1000000000737;9;9;Nombre J;Marca J;Presentacion J;1;gr;1237;120305
1000000000738;1;1;Nombre K;Marca K;Presentacion K;2;ml;1238;120460
1000000000739;2;2;Nombre L;Marca L;Presentacion L;5;ml;1239;120615
1000000000740;3;3;Nombre M;Marca M;Presentacion M;2;gr;1240;120770
1000000000741;4;4;Nombre N;Marca N;Presentacion N;1;ml;1241;120925
1000000000742;5;5;Nombre O;Marca O;Presentacion O;5;ml;1242;121080
1000000000743;6;6;Nombre P;Marca P;Presentacion P;8;gr;1243;121235
1000000000744;7;7;Nombre Q;Marca Q;Presentacion Q;9;gr;1244;121390
1000000000745;8;8;Nombre R;Marca R;Presentacion R;9;gr;1245;121545
1000000000746;9;9;Nombre S;Marca S;Presentacion S;4;ml;1246;121700
1000000000747;1;1;Nombre T;Marca T;Presentacion T;4;gr;1247;121855
1000000000748;2;2;Nombre U;Marca U;Presentacion U;3;ml;1248;122010
1000000000749;3;3;Nombre V;Marca V;Presentacion V;9;ml;1249;122165
1000000000750;4;4;Nombre W;Marca W;Presentacion W;5;gr;1250;122320
1000000000751;5;5;Nombre X;Marca X;Presentacion X;9;ml;1251;122475
1000000000752;6;6;Nombre Y;Marca Y;Presentacion Y;2;ml;1252;122630
1000000000753;7;7;Nombre Z;Marca Z;Presentacion Z;4;gr;1253;122785
1000000000754;8;8;Nombre A;Marca A;Presentacion A;8;gr;1254;122940
1000000000755;9;9;Nombre B;Marca B;Presentacion B;2;gr;1255;123095
1000000000756;1;1;Nombre C;Marca C;Presentacion C;9;ml;1256;123250
1000000000757;2;2;Nombre D;Marca D;Presentacion D;2;gr;1257;123405
1000000000758;3;3;Nombre E;Marca E;Presentacion E;2;ml;1258;123560
1000000000759;4;4;Nombre F;Marca F;Presentacion F;5;ml;1259;123715
1000000000760;5;5;Nombre G;Marca G;Presentacion G;7;gr;1260;123870
1000000000761;6;6;Nombre H;Marca H;Presentacion H;3;ml;1261;124025
1000000000762;7;7;Nombre I;Marca I;Presentacion I;3;ml;1262;124180
1000000000763;8;8;Nombre J;Marca J;Presentacion J;5;gr;1263;124335
1000000000764;9;9;Nombre K;Marca K;Presentacion K;9;gr;1264;124490
1000000000765;1;1;Nombre L;Marca L;Presentacion L;9;gr;1265;124645
1000000000766;2;2;Nombre M;Marca M;Presentacion M;7;ml;1266;124800
1000000000767;3;3;Nombre N;Marca N;Presentacion N;9;gr;1267;124955
1000000000768;4;4;Nombre O;Marca O;Presentacion O;9;ml;1268;125110
1000000000769;5;5;Nombre P;Marca P;Presentacion P;2;ml;1269;125265
1000000000770;6;6;Nombre Q;Marca Q;Presentacion Q;8;gr;1270;125420
1000000000771;7;7;Nombre R;Marca R;Presentacion R;9;ml;1271;125575
1000000000772;8;8;Nombre S;Marca S;Presentacion S;6;ml;1272;125730
1000000000773;9;9;Nombre T;Marca T;Presentacion T;8;gr;1273;125885
1000000000774;1;1;Nombre U;Marca U;Presentacion U;3;gr;1274;126040
1000000000775;2;2;Nombre V;Marca V;Presentacion V;3;gr;1275;126195
1000000000776;3;3;Nombre W;Marca W;Presentacion W;8;ml;1276;126350
1000000000777;4;4;Nombre X;Marca X;Presentacion X;3;gr;1277;126505
1000000000778;5;5;Nombre Y;Marca Y;Presentacion Y;5;ml;1278;126660
1000000000779;6;6;Nombre Z;Marca Z;Presentacion Z;6;ml;1279;126815
1000000000780;7;7;Nombre A;Marca A;Presentacion A;6;gr;1280;126970
1000000000781;8;8;Nombre B;Marca B;Presentacion B;10;ml;1281;127125
1000000000782;9;9;Nombre C;Marca C;Presentacion C;2;ml;1282;127280
1000000000783;1;1;Nombre D;Marca D;Presentacion D;5;gr;1283;127435
1000000000784;2;2;Nombre E;Marca E;Presentacion E;7;gr;1284;127590
1000000000785;3;3;Nombre F;Marca F;Presentacion F;4;gr;1285;127745
1000000000786;4;4;Nombre G;Marca G;Presentacion G;10;ml;1286;127900
1000000000787;5;5;Nombre H;Marca H;Presentacion H;8;gr;1287;128055
1000000000788;6;6;Nombre I;Marca I;Presentacion I;4;ml;1288;128210
1000000000789;7;7;Nombre J;Marca J;Presentacion J;1;ml;1289;128365
1000000000790;8;8;Nombre K;Marca K;Presentacion K;1;gr;1290;128520
1000000000791;9;9;Nombre L;Marca L;Presentacion L;4;ml;1291;128675
1000000000792;1;1;Nombre M;Marca M;Presentacion M;3;ml;1292;128830
1000000000793;2;2;Nombre N;Marca N;Presentacion N;6;gr;1293;128985
1000000000794;3;3;Nombre O;Marca O;Presentacion O;9;gr;1294;129140
1000000000795;4;4;Nombre P;Marca P;Presentacion P;9;gr;1295;129295
1000000000796;5;5;Nombre Q;Marca Q;Presentacion Q;2;ml;1296;129450
1000000000797;6;6;Nombre R;Marca R;Presentacion R;1;gr;1297;129605
1000000000798;7;7;Nombre S;Marca S;Presentacion S;6;ml;1298;129760
1000000000799;8;8;Nombre T;Marca T;Presentacion T;5;ml;1299;129915
1000000000800;9;9;Nombre U;Marca U;Presentacion U;4;gr;1300;130070
1000000000801;1;1;Nombre V;Marca V;Presentacion V;7;ml;1301;130225
1000000000802;2;2;Nombre W;Marca W;Presentacion W;3;ml;1302;130380
1000000000803;3;3;Nombre X;Marca X;Presentacion X;7;gr;1303;130535
1000000000804;4;4;Nombre Y;Marca Y;Presentacion Y;5;gr;1304;130690
1000000000805;5;5;Nombre Z;Marca Z;Presentacion Z;9;gr;1305;130845
1000000000806;6;6;Nombre A;Marca A;Presentacion A;7;ml;1306;131000
1000000000807;7;7;Nombre B;Marca B;Presentacion B;4;gr;1307;131155
1000000000808;8;8;Nombre C;Marca C;Presentacion C;7;ml;1308;131310
1000000000809;9;9;Nombre D;Marca D;Presentacion D;1;ml;1309;131465
1000000000810;1;1;Nombre E;Marca E;Presentacion E;2;gr;1310;131620
1000000000811;2;2;Nombre F;Marca F;Presentacion F;6;ml;1311;131775
1000000000812;3;3;Nombre G;Marca G;Presentacion G;6;ml;1312;131930
1000000000813;4;4;Nombre H;Marca H;Presentacion H;8;gr;1313;132085
1000000000814;5;5;Nombre I;Marca I;Presentacion I;4;gr;1314;132240
1000000000815;6;6;Nombre J;Marca J;Presentacion J;5;gr;1315;132395
1000000000816;7;7;Nombre K;Marca K;Presentacion K;3;ml;1316;132550
1000000000817;8;8;Nombre L;Marca L;Presentacion L;6;gr;1317;132705
1000000000818;9;9;Nombre M;Marca M;Presentacion M;7;ml;1318;132860
1000000000819;1;1;Nombre N;Marca N;Presentacion N;8;ml;1319;133015
1000000000820;2;2;Nombre O;Marca O;Presentacion O;6;gr;1320;133170
1000000000821;3;3;Nombre P;Marca P;Presentacion P;7;ml;1321;133325
1000000000822;4;4;Nombre Q;Marca Q;Presentacion Q;1;ml;1322;133480
1000000000823;5;5;Nombre R;Marca R;Presentacion R;10;gr;1323;133635
1000000000824;6;6;Nombre S;Marca S;Presentacion S;2;gr;1324;133790
1000000000825;7;7;Nombre T;Marca T;Presentacion T;5;gr;1325;133945
1000000000826;8;8;Nombre U;Marca U;Presentacion U;2;ml;1326;134100
1000000000827;9;9;Nombre V;Marca V;Presentacion V;5;gr;1327;134255
1000000000828;1;1;Nombre W;Marca W;Presentacion W;2;ml;1328;134410
1000000000829;2;2;Nombre X;Marca X;Presentacion X;3;ml;1329;134565
1000000000830;3;3;Nombre Y;Marca Y;Presentacion Y;1;gr;1330;134720
1000000000831;4;4;Nombre Z;Marca Z;Presentacion Z;1;ml;1331;134875
1000000000832;5;5;Nombre A;Marca A;Presentacion A;7;ml;1332;135030
1000000000833;6;6;Nombre B;Marca B;Presentacion B;10;gr;1333;135185
1000000000834;7;7;Nombre C;Marca C;Presentacion C;8;gr;1334;135340
1000000000835;8;8;Nombre D;Marca D;Presentacion D;4;gr;1335;135495
1000000000836;9;9;Nombre E;Marca E;Presentacion E;4;ml;1336;135650
1000000000837;1;1;Nombre F;Marca F;Presentacion F;1;gr;1337;135805
1000000000838;2;2;Nombre G;Marca G;Presentacion G;7;ml;1338;135960
1000000000839;3;3;Nombre H;Marca H;Presentacion H;8;ml;1339;136115
1000000000840;4;4;Nombre I;Marca I;Presentacion I;8;gr;1340;136270
1000000000841;5;5;Nombre J;Marca J;Presentacion J;3;ml;1341;136425
1000000000842;6;6;Nombre K;Marca K;Presentacion K;7;ml;1342;136580
1000000000843;7;7;Nombre L;Marca L;Presentacion L;7;gr;1343;136735
1000000000844;8;8;Nombre M;Marca M;Presentacion M;4;gr;1344;136890
1000000000845;9;9;Nombre N;Marca N;Presentacion N;3;gr;1345;137045
1000000000846;1;1;Nombre O;Marca O;Presentacion O;2;ml;1346;137200
1000000000847;2;2;Nombre P;Marca P;Presentacion P;4;gr;1347;137355
1000000000848;3;3;Nombre Q;Marca Q;Presentacion Q;10;ml;1348;137510
1000000000849;4;4;Nombre R;Marca R;Presentacion R;7;ml;1349;137665
1000000000850;5;5;Nombre S;Marca S;Presentacion S;1;gr;1350;137820
1000000000851;6;6;Nombre T;Marca T;Presentacion T;10;ml;1351;137975
1000000000852;7;7;Nombre U;Marca U;Presentacion U;7;ml;1352;138130
1000000000853;8;8;Nombre V;Marca V;Presentacion V;6;gr;1353;138285
1000000000854;9;9;Nombre W;Marca W;Presentacion W;1;gr;1354;138440
1000000000855;1;1;Nombre X;Marca X;Presentacion X;10;gr;1355;138595
1000000000856;2;2;Nombre Y;Marca Y;Presentacion Y;2;ml;1356;138750
1000000000857;3;3;Nombre Z;Marca Z;Presentacion Z;5;gr;1357;138905
1000000000858;4;4;Nombre A;Marca A;Presentacion A;2;ml;1358;139060
1000000000859;5;5;Nombre B;Marca B;Presentacion B;8;ml;1359;139215
1000000000860;6;6;Nombre C;Marca C;Presentacion C;3;gr;1360;139370
1000000000861;7;7;Nombre D;Marca D;Presentacion D;6;ml;1361;139525
1000000000862;8;8;Nombre E;Marca E;Presentacion E;1;ml;1362;139680
1000000000863;9;9;Nombre F;Marca F;Presentacion F;3;gr;1363;139835
1000000000864;1;1;Nombre G;Marca G;Presentacion G;7;gr;1364;139990
1000000000865;2;2;Nombre H;Marca H;Presentacion H;1;gr;1365;140145
1000000000866;3;3;Nombre I;Marca I;Presentacion I;2;ml;1366;140300
1000000000867;4;4;Nombre J;Marca J;Presentacion J;1;gr;1367;140455
1000000000868;5;5;Nombre K;Marca K;Presentacion K;7;ml;1368;140610
1000000000869;6;6;Nombre L;Marca L;Presentacion L;2;ml;1369;140765
1000000000870;7;7;Nombre M;Marca M;Presentacion M;10;gr;1370;140920
1000000000871;8;8;Nombre N;Marca N;Presentacion N;5;ml;1371;141075
1000000000872;9;9;Nombre O;Marca O;Presentacion O;2;ml;1372;141230
1000000000873;1;1;Nombre P;Marca P;Presentacion P;7;gr;1373;141385
1000000000874;2;2;Nombre Q;Marca Q;Presentacion Q;5;gr;1374;141540
1000000000875;3;3;Nombre R;Marca R;Presentacion R;7;gr;1375;141695
1000000000876;4;4;Nombre S;Marca S;Presentacion S;8;ml;1376;141850
1000000000877;5;5;Nombre T;Marca T;Presentacion T;9;gr;1377;142005
1000000000878;6;6;Nombre U;Marca U;Presentacion U;6;ml;1378;142160
1000000000879;7;7;Nombre V;Marca V;Presentacion V;6;ml;1379;142315
1000000000880;8;8;Nombre W;Marca W;Presentacion W;5;gr;1380;142470
1000000000881;9;9;Nombre X;Marca X;Presentacion X;6;ml;1381;142625
1000000000882;1;1;Nombre Y;Marca Y;Presentacion Y;10;ml;1382;142780
1000000000883;2;2;Nombre Z;Marca Z;Presentacion Z;7;gr;1383;142935
1000000000884;3;3;Nombre A;Marca A;Presentacion A;10;gr;1384;143090
1000000000885;4;4;Nombre B;Marca B;Presentacion B;1;gr;1385;143245
1000000000886;5;5;Nombre C;Marca C;Presentacion C;5;ml;1386;143400
1000000000887;6;6;Nombre D;Marca D;Presentacion D;1;gr;1387;143555
1000000000888;7;7;Nombre E;Marca E;Presentacion E;1;ml;1388;143710
1000000000889;8;8;Nombre F;Marca F;Presentacion F;2;ml;1389;143865
1000000000890;9;9;Nombre G;Marca G;Presentacion G;1;gr;1390;144020
1000000000891;1;1;Nombre H;Marca H;Presentacion H;8;ml;1391;144175
1000000000892;2;2;Nombre I;Marca I;Presentacion I;6;ml;1392;144330
1000000000893;3;3;Nombre J;Marca J;Presentacion J;9;gr;1393;144485
1000000000894;4;4;Nombre K;Marca K;Presentacion K;9;gr;1394;144640
1000000000895;5;5;Nombre L;Marca L;Presentacion L;8;gr;1395;144795
1000000000896;6;6;Nombre M;Marca M;Presentacion M;9;ml;1396;144950
1000000000897;7;7;Nombre N;Marca N;Presentacion N;2;gr;1397;145105
1000000000898;8;8;Nombre O;Marca O;Presentacion O;6;ml;1398;145260
1000000000899;9;9;Nombre P;Marca P;Presentacion P;6;ml;1399;145415
1000000000900;1;1;Nombre Q;Marca Q;Presentacion Q;1;gr;1400;145570
1000000000901;2;2;Nombre R;Marca R;Presentacion R;6;ml;1401;145725
1000000000902;3;3;Nombre S;Marca S;Presentacion S;1;ml;1402;145880
1000000000903;4;4;Nombre T;Marca T;Presentacion T;9;gr;1403;146035
1000000000904;5;5;Nombre U;Marca U;Presentacion U;6;gr;1404;146190
1000000000905;6;6;Nombre V;Marca V;Presentacion V;7;gr;1405;146345
1000000000906;7;7;Nombre W;Marca W;Presentacion W;10;ml;1406;146500
1000000000907;8;8;Nombre X;Marca X;Presentacion X;6;gr;1407;146655
1000000000908;9;9;Nombre Y;Marca Y;Presentacion Y;2;ml;1408;146810
1000000000909;1;1;Nombre Z;Marca Z;Presentacion Z;9;ml;1409;146965
1000000000910;2;2;Nombre A;Marca A;Presentacion A;8;gr;1410;147120
1000000000911;3;3;Nombre B;Marca B;Presentacion B;6;ml;1411;147275
1000000000912;4;4;Nombre C;Marca C;Presentacion C;7;ml;1412;147430
1000000000913;5;5;Nombre D;Marca D;Presentacion D;9;gr;1413;147585
1000000000914;6;6;Nombre E;Marca E;Presentacion E;10;gr;1414;147740
1000000000915;7;7;Nombre F;Marca F;Presentacion F;8;gr;1415;147895
1000000000916;8;8;Nombre G;Marca G;Presentacion G;2;ml;1416;148050
1000000000917;9;9;Nombre H;Marca H;Presentacion H;5;gr;1417;148205
1000000000918;1;1;Nombre I;Marca I;Presentacion I;4;ml;1418;148360
1000000000919;2;2;Nombre J;Marca J;Presentacion J;3;ml;1419;148515
1000000000920;3;3;Nombre K;Marca K;Presentacion K;4;gr;1420;148670
1000000000921;4;4;Nombre L;Marca L;Presentacion L;9;ml;1421;148825
1000000000922;5;5;Nombre M;Marca M;Presentacion M;5;ml;1422;148980
1000000000923;6;6;Nombre N;Marca N;Presentacion N;10;gr;1423;149135
1000000000924;7;7;Nombre O;Marca O;Presentacion O;1;gr;1424;149290
1000000000925;8;8;Nombre P;Marca P;Presentacion P;2;gr;1425;149445
1000000000926;9;9;Nombre Q;Marca Q;Presentacion Q;2;ml;1426;149600
1000000000927;1;1;Nombre R;Marca R;Presentacion R;7;gr;1427;149755
1000000000928;2;2;Nombre S;Marca S;Presentacion S;7;ml;1428;149910
1000000000929;3;3;Nombre T;Marca T;Presentacion T;9;ml;1429;150065
1000000000930;4;4;Nombre U;Marca U;Presentacion U;10;gr;1430;150220
1000000000931;5;5;Nombre V;Marca V;Presentacion V;8;ml;1431;150375
1000000000932;6;6;Nombre W;Marca W;Presentacion W;5;ml;1432;150530
1000000000933;7;7;Nombre X;Marca X;Presentacion X;10;gr;1433;150685
1000000000934;8;8;Nombre Y;Marca Y;Presentacion Y;8;gr;1434;150840
1000000000935;9;9;Nombre Z;Marca Z;Presentacion Z;9;gr;1435;150995
1000000000936;1;1;Nombre A;Marca A;Presentacion A;1;ml;1436;151150
1000000000937;2;2;Nombre B;Marca B;Presentacion B;6;gr;1437;151305
1000000000938;3;3;Nombre C;Marca C;Presentacion C;5;ml;1438;151460
1000000000939;4;4;Nombre D;Marca D;Presentacion D;8;ml;1439;151615
1000000000940;5;5;Nombre E;Marca E;Presentacion E;2;gr;1440;151770
1000000000941;6;6;Nombre F;Marca F;Presentacion F;9;ml;1441;151925
1000000000942;7;7;Nombre G;Marca G;Presentacion G;3;ml;1442;152080
1000000000943;8;8;Nombre H;Marca H;Presentacion H;8;gr;1443;152235
1000000000944;9;9;Nombre I;Marca I;Presentacion I;8;gr;1444;152390
1000000000945;1;1;Nombre J;Marca J;Presentacion J;8;gr;1445;152545
1000000000946;2;2;Nombre K;Marca K;Presentacion K;1;ml;1446;152700
1000000000947;3;3;Nombre L;Marca L;Presentacion L;6;gr;1447;152855
1000000000948;4;4;Nombre M;Marca M;Presentacion M;1;ml;1448;153010
1000000000949;5;5;Nombre N;Marca N;Presentacion N;2;ml;1449;153165
1000000000950;6;6;Nombre O;Marca O;Presentacion O;3;gr;1450;153320
1000000000951;7;7;Nombre P;Marca P;Presentacion P;3;ml;1451;153475
1000000000952;8;8;Nombre Q;Marca Q;Presentacion Q;5;ml;1452;153630
1000000000953;9;9;Nombre R;Marca R;Presentacion R;9;gr;1453;153785
1000000000954;1;1;Nombre S;Marca S;Presentacion S;8;gr;1454;153940
1000000000955;2;2;Nombre T;Marca T;Presentacion T;2;gr;1455;154095
1000000000956;3;3;Nombre U;Marca U;Presentacion U;10;ml;1456;154250
1000000000957;4;4;Nombre V;Marca V;Presentacion V;2;gr;1457;154405
1000000000958;5;5;Nombre W;Marca W;Presentacion W;2;ml;1458;154560
1000000000959;6;6;Nombre X;Marca X;Presentacion X;6;ml;1459;154715
1000000000960;7;7;Nombre Y;Marca Y;Presentacion Y;5;gr;1460;154870
1000000000961;8;8;Nombre Z;Marca Z;Presentacion Z;1;ml;1461;155025
1000000000962;9;9;Nombre A;Marca A;Presentacion A;6;ml;1462;155180
1000000000963;1;1;Nombre B;Marca B;Presentacion B;10;gr;1463;155335
1000000000964;2;2;Nombre C;Marca C;Presentacion C;9;gr;1464;155490
1000000000965;3;3;Nombre D;Marca D;Presentacion D;10;gr;1465;155645
1000000000966;4;4;Nombre E;Marca E;Presentacion E;6;ml;1466;155800
1000000000967;5;5;Nombre F;Marca F;Presentacion F;6;gr;1467;155955
1000000000968;6;6;Nombre G;Marca G;Presentacion G;4;ml;1468;156110
1000000000969;7;7;Nombre H;Marca H;Presentacion H;4;ml;1469;156265
1000000000970;8;8;Nombre I;Marca I;Presentacion I;4;gr;1470;156420
1000000000971;9;9;Nombre J;Marca J;Presentacion J;7;ml;1471;156575
1000000000972;1;1;Nombre K;Marca K;Presentacion K;10;ml;1472;156730
1000000000973;2;2;Nombre L;Marca L;Presentacion L;4;gr;1473;156885
1000000000974;3;3;Nombre M;Marca M;Presentacion M;6;gr;1474;157040
1000000000975;4;4;Nombre N;Marca N;Presentacion N;9;gr;1475;157195
1000000000976;5;5;Nombre O;Marca O;Presentacion O;2;ml;1476;157350
1000000000977;6;6;Nombre P;Marca P;Presentacion P;7;gr;1477;157505
1000000000978;7;7;Nombre Q;Marca Q;Presentacion Q;4;ml;1478;157660
1000000000979;8;8;Nombre R;Marca R;Presentacion R;8;ml;1479;157815
1000000000980;9;9;Nombre S;Marca S;Presentacion S;9;gr;1480;157970
1000000000981;1;1;Nombre T;Marca T;Presentacion T;7;ml;1481;158125
1000000000982;2;2;Nombre U;Marca U;Presentacion U;9;ml;1482;158280
1000000000983;3;3;Nombre V;Marca V;Presentacion V;10;gr;1483;158435
1000000000984;4;4;Nombre W;Marca W;Presentacion W;3;gr;1484;158590
1000000000985;5;5;Nombre X;Marca X;Presentacion X;10;gr;1485;158745
1000000000986;6;6;Nombre Y;Marca Y;Presentacion Y;3;ml;1486;158900
1000000000987;7;7;Nombre Z;Marca Z;Presentacion Z;1;gr;1487;159055
1000000000988;8;8;Nombre A;Marca A;Presentacion A;8;ml;1488;159210
1000000000989;9;9;Nombre B;Marca B;Presentacion B;7;ml;1489;159365
1000000000990;1;1;Nombre C;Marca C;Presentacion C;1;gr;1490;159520
1000000000991;2;2;Nombre D;Marca D;Presentacion D;1;ml;1491;159675
1000000000992;3;3;Nombre E;Marca E;Presentacion E;2;ml;1492;159830
1000000000993;4;4;Nombre F;Marca F;Presentacion F;3;gr;1493;159985
1000000000994;5;5;Nombre G;Marca G;Presentacion G;4;gr;1494;160140
1000000000995;6;6;Nombre H;Marca H;Presentacion H;9;gr;1495;160295
1000000000996;7;7;Nombre I;Marca I;Presentacion I;2;ml;1496;160450
1000000000997;8;8;Nombre J;Marca J;Presentacion J;10;gr;1497;160605
1000000000998;9;9;Nombre K;Marca K;Presentacion K;4;ml;1498;160760
1000000000999;1;1;Nombre L;Marca L;Presentacion L;10;ml;1499;160915
1000000001000;2;2;Nombre M;Marca M;Presentacion M;8;gr;1500;161070
1000000001001;3;3;Nombre N;Marca N;Presentacion N;2;ml;1501;161225
1000000001002;4;4;Nombre O;Marca O;Presentacion O;6;ml;1502;161380
1000000001003;5;5;Nombre P;Marca P;Presentacion P;7;gr;1503;161535
1000000001004;6;6;Nombre Q;Marca Q;Presentacion Q;7;gr;1504;161690
1000000001005;7;7;Nombre R;Marca R;Presentacion R;9;gr;1505;161845
1000000001006;8;8;Nombre S;Marca S;Presentacion S;3;ml;1506;162000
1000000001007;9;9;Nombre T;Marca T;Presentacion T;1;gr;1507;162155
1000000001008;1;1;Nombre U;Marca U;Presentacion U;5;ml;1508;162310
1000000001009;2;2;Nombre V;Marca V;Presentacion V;10;ml;1509;162465
1000000001010;3;3;Nombre W;Marca W;Presentacion W;3;gr;1510;162620
1000000001011;4;4;Nombre X;Marca X;Presentacion X;8;ml;1511;162775
1000000001012;5;5;Nombre Y;Marca Y;Presentacion Y;5;ml;1512;162930
1000000001013;6;6;Nombre Z;Marca Z;Presentacion Z;8;gr;1513;163085
1000000001014;7;7;Nombre A;Marca A;Presentacion A;9;gr;1514;163240
1000000001015;8;8;Nombre B;Marca B;Presentacion B;6;gr;1515;163395
1000000001016;9;9;Nombre C;Marca C;Presentacion C;9;ml;1516;163550
1000000001017;1;1;Nombre D;Marca D;Presentacion D;4;gr;1517;163705
1000000001018;2;2;Nombre E;Marca E;Presentacion E;2;ml;1518;163860
1000000001019;3;3;Nombre F;Marca F;Presentacion F;1;ml;1519;164015
1000000001020;4;4;Nombre G;Marca G;Presentacion G;6;gr;1520;164170
1000000001021;5;5;Nombre H;Marca H;Presentacion H;10;ml;1521;164325
1000000001022;6;6;Nombre I;Marca I;Presentacion I;7;ml;1522;164480
1000000001023;7;7;Nombre J;Marca J;Presentacion J;1;gr;1523;164635
1000000001024;8;8;Nombre K;Marca K;Presentacion K;6;gr;1524;164790
1000000001025;9;9;Nombre L;Marca L;Presentacion L;9;gr;1525;164945
1000000001026;1;1;Nombre M;Marca M;Presentacion M;6;ml;1526;165100
1000000001027;2;2;Nombre N;Marca N;Presentacion N;6;gr;1527;165255
1000000001028;3;3;Nombre O;Marca O;Presentacion O;7;ml;1528;165410
1000000001029;4;4;Nombre P;Marca P;Presentacion P;5;ml;1529;165565
1000000001030;5;5;Nombre Q;Marca Q;Presentacion Q;4;gr;1530;165720
1000000001031;6;6;Nombre R;Marca R;Presentacion R;6;ml;1531;165875
1000000001032;7;7;Nombre S;Marca S;Presentacion S;2;ml;1532;166030
1000000001033;8;8;Nombre T;Marca T;Presentacion T;9;gr;1533;166185
1000000001034;9;9;Nombre U;Marca U;Presentacion U;2;gr;1534;166340
1000000001035;1;1;Nombre V;Marca V;Presentacion V;5;gr;1535;166495
1000000001036;2;2;Nombre W;Marca W;Presentacion W;3;ml;1536;166650
1000000001037;3;3;Nombre X;Marca X;Presentacion X;1;gr;1537;166805
1000000001038;4;4;Nombre Y;Marca Y;Presentacion Y;8;ml;1538;166960
1000000001039;5;5;Nombre Z;Marca Z;Presentacion Z;8;ml;1539;167115
1000000001040;6;6;Nombre A;Marca A;Presentacion A;7;gr;1540;167270
1000000001041;7;7;Nombre B;Marca B;Presentacion B;6;ml;1541;167425
1000000001042;8;8;Nombre C;Marca C;Presentacion C;7;ml;1542;167580
1000000001043;9;9;Nombre D;Marca D;Presentacion D;1;gr;1543;167735
1000000001044;1;1;Nombre E;Marca E;Presentacion E;2;gr;1544;167890
1000000001045;2;2;Nombre F;Marca F;Presentacion F;2;gr;1545;168045
1000000001046;3;3;Nombre G;Marca G;Presentacion G;7;ml;1546;168200
1000000001047;4;4;Nombre H;Marca H;Presentacion H;5;gr;1547;168355
1000000001048;5;5;Nombre I;Marca I;Presentacion I;7;ml;1548;168510
1000000001049;6;6;Nombre J;Marca J;Presentacion J;5;ml;1549;168665
1000000001050;7;7;Nombre K;Marca K;Presentacion K;9;gr;1550;168820
1000000001051;8;8;Nombre L;Marca L;Presentacion L;10;ml;1551;168975
1000000001052;9;9;Nombre M;Marca M;Presentacion M;8;ml;1552;169130
