IDSUCURSAL;CODIGOBARRASPRODUCTO;IDCATEGORIAPROD;IDTIPOPROD;CAPAVOL;CAPAPESO;CANTIDAD;TIPOALMA;NIVELREAVAST;;;Aleatorio;"""(ENTERO(ALEATORIO()*200)+100)"""
74;1000000001347;7;7;354624;41252160;97;2;17;;;192;
75;1000000001348;8;8;724416;84283920;137;1;27;;;392;
75;1000000001349;9;9;403082;46905970;94;2;21;;;218;
76;1000000001350;1;1;734450;85482040;316;1;39;;;397;
76;1000000001351;2;2;429432;49990200;58;2;6;;;232;
77;1000000001352;3;3;438924;51104310;33;1;23;;;237;
77;1000000001353;4;4;496604;57830380;39;2;48;;;268;
78;1000000001354;5;5;897336;104514960;351;1;77;;;484;
78;1000000001355;6;6;866285;100916365;325;2;37;;;467;
79;1000000001356;7;7;684864;79796250;265;1;14;;;369;
79;1000000001357;8;8;592383;69033195;93;2;12;;;319;
80;1000000001358;9;9;862112;100483840;258;1;18;;;464;
80;1000000001359;1;1;847704;98822040;348;2;36;;;456;
81;1000000001360;2;2;492900;57470550;39;1;2;;;265;
81;1000000001361;3;3;869087;101350675;2;2;93;;;467;
82;1000000001362;4;4;195510;22803900;75;1;17;;;105;
82;1000000001363;5;5;216108;25210860;13;2;10;;;116;
83;1000000001364;6;6;736280;85908550;155;1;7;;;395;
83;1000000001365;7;7;410300;47881900;94;2;37;;;220;
84;1000000001366;8;8;886350;103455000;193;1;14;;;475;
84;1000000001367;9;9;294986;34436890;17;2;3;;;158;
85;1000000001368;1;1;461396;53873170;79;1;27;;;247;
85;1000000001369;2;2;637329;74428365;48;2;54;;;341;
86;1000000001370;3;3;287980;33636680;36;1;30;;;154;
86;1000000001371;4;4;765239;89397175;122;2;24;;;409;
87;1000000001372;5;5;745056;87054540;13;1;43;;;398;
87;1000000001373;6;6;353997;41369265;183;2;3;;;189;
88;1000000001374;7;7;614672;71845120;69;1;49;;;328;
88;1000000001375;8;8;330000;38578320;25;2;24;;;176;
89;1000000001376;9;9;264516;30928350;12;1;1;;;141;
89;1000000001377;1;1;409186;47852090;143;2;4;;;218;
90;1000000001378;2;2;738054;86326380;55;1;58;;;393;
90;1000000001379;3;3;625707;73198395;43;2;9;;;333;
91;1000000001380;4;4;573400;67090850;240;1;48;;;305;
91;1000000001381;5;5;417582;48867750;111;2;28;;;222;
92;1000000001382;6;6;922180;107937200;342;1;14;;;490;
92;1000000001383;7;7;892542;104486190;296;2;47;;;474;
93;1000000001384;8;8;634908;74338830;23;1;53;;;337;
93;1000000001385;9;9;482560;56510720;236;2;17;;;256;
94;1000000001386;1;1;882648;103381200;270;1;9;;;468;
94;1000000001387;2;2;801975;93948375;258;2;42;;;425;
95;1000000001388;3;3;621152;72778090;126;1;23;;;329;
95;1000000001389;4;4;782046;91645110;261;2;4;;;414;
96;1000000001390;5;5;943110;110538480;58;1;99;;;499;
96;1000000001391;6;6;476532;55862100;234;2;50;;;252;
97;1000000001392;7;7;471108;55235670;230;1;29;;;249;
97;1000000001393;8;8;689052;80802540;308;2;3;;;364;
98;1000000001394;9;9;715932;83968920;35;1;71;;;378;
98;1000000001395;1;1;299410;35122610;96;2;18;;;158;
99;1000000001396;2;2;811488;95208600;332;1;85;;;428;
99;1000000001397;3;3;827092;97055780;212;2;17;;;436;
100;1000000001398;4;4;652912;76629440;32;1;37;;;344;
100;1000000001399;5;5;831762;97636770;75;2;4;;;438;
101;1000000001400;6;6;408500;47960050;161;1;32;;;215;
101;1000000001401;7;7;745192;87504200;299;2;27;;;392;
102;1000000001402;8;8;287202;33730380;53;1;28;;;151;
102;1000000001403;9;9;553773;65048685;260;2;37;;;291;
103;1000000001404;1;1;236096;27737560;97;1;6;;;124;
103;1000000001405;2;2;615315;72301935;98;2;38;;;323;
104;1000000001406;3;3;205848;24192000;56;1;6;;;108;
104;1000000001407;4;4;579728;68143120;48;2;51;;;304;
105;1000000001408;5;5;316728;37235460;145;1;11;;;166;
105;1000000001409;6;6;771236;90683860;373;2;28;;;404;
106;1000000001410;7;7;351440;41330080;82;1;29;;;184;
106;1000000001411;8;8;500682;58891050;203;2;26;;;262;
107;1000000001412;9;9;552568;65004770;215;1;2;;;289;
107;1000000001413;1;1;665724;78329580;280;2;17;;;348;
108;1000000001414;2;2;467016;54958560;158;1;9;;;244;
108;1000000001415;3;3;666420;78437460;125;2;55;;;348;
109;1000000001416;4;4;298896;35185800;42;1;24;;;156;
109;1000000001417;5;5;381483;44915295;188;2;21;;;199;
110;1000000001418;6;6;830494;97797380;367;1;47;;;433;
110;1000000001419;7;7;452884;53339540;220;2;23;;;236;
111;1000000001420;8;8;620160;73052910;218;1;32;;;323;
111;1000000001421;9;9;749190;88266750;374;2;31;;;390;
112;1000000001422;1;1;665012;78362080;203;1;17;;;346;
112;1000000001423;2;2;217299;25609755;23;2;12;;;113;
113;1000000001424;3;3;748436;88221310;152;1;77;;;389;
113;1000000001425;4;4;492800;58097920;119;2;5;;;256;
114;1000000001426;5;5;558540;65859000;196;1;5;;;290;
114;1000000001427;6;6;655180;77266700;72;2;64;;;340;
115;1000000001428;7;7;410664;48438330;50;1;27;;;213;
115;1000000001429;8;8;667434;78737490;148;2;55;;;346;
116;1000000001430;9;9;337750;39851000;15;1;35;;;175;
116;1000000001431;1;1;812951;95935375;208;2;79;;;421;
117;1000000001432;2;2;776664;91668060;100;1;12;;;402;
117;1000000001433;3;3;463920;54764400;197;2;21;;;240;
118;1000000001434;4;4;278496;32880960;112;1;25;;;144;
118;1000000001435;5;5;296055;34959735;55;2;24;;;153;
119;1000000001436;6;6;706640;83457250;279;1;69;;;365;
119;1000000001437;7;7;757367;89462755;374;2;58;;;391;
120;1000000001438;8;8;751944;88836480;189;1;27;;;388;
120;1000000001439;9;9;236558;27952030;115;2;19;;;122;
121;1000000001440;1;1;931200;110049600;114;1;67;;;480;
121;1000000001441;2;2;562890;66533250;231;2;11;;;290;
122;1000000001442;3;3;617556;73006440;316;1;31;;;318;
122;1000000001443;4;4;746112;88218240;282;2;76;;;384;
123;1000000001444;5;5;758160;89657100;100;1;62;;;390;
123;1000000001445;6;6;278135;32896435;109;2;20;;;143;
124;1000000001446;7;7;741426;87706200;155;1;68;;;381;
124;1000000001447;8;8;578259;68415435;99;2;26;;;297;
125;1000000001448;9;9;956468;113180410;309;1;24;;;491;
125;1000000001449;1;1;962806;113948510;195;2;14;;;494;
126;1000000001450;2;2;797550;94405380;53;1;32;;;409;
126;1000000001451;3;3;565790;66982750;281;2;46;;;290;
127;1000000001452;4;4;259616;30740290;45;1;9;;;133;
127;1000000001453;5;5;384741;45563145;98;2;33;;;197;
128;1000000001454;6;6;265744;31475840;81;1;9;;;136;
128;1000000001455;7;7;523940;62067460;11;2;16;;;268;
129;1000000001456;8;8;232764;27578250;36;1;9;;;119;
129;1000000001457;9;9;665380;78847700;330;2;30;;;340;
130;1000000001458;1;1;350482;41538740;81;1;35;;;179;
130;1000000001459;2;2;448611;53177235;165;2;36;;;229;
131;1000000001460;3;3;825160;97827770;130;1;71;;;421;
131;1000000001461;4;4;288267;34181175;21;2;22;;;147;
132;1000000001462;5;5;445374;52818360;153;1;40;;;227;
132;1000000001463;6;6;235560;27940200;59;2;16;;;120;
133;1000000001464;7;7;591164;70129990;184;1;27;;;301;
133;1000000001465;8;8;615045;72974385;84;2;43;;;313;
134;1000000001466;9;9;393200;46660000;48;1;12;;;200;
134;1000000001467;1;1;664846;78907790;170;2;67;;;338;
135;1000000001468;2;2;614016;72886320;66;1;18;;;312;
135;1000000001469;3;3;354420;42077700;119;2;36;;;180;
136;1000000001470;4;4;780120;92632320;323;1;7;;;396;
136;1000000001471;5;5;981558;116569350;69;2;34;;;498;
137;1000000001472;6;6;774996;92052390;245;1;11;;;393;
137;1000000001473;7;7;832606;98910470;114;2;67;;;422;
138;1000000001474;8;8;957390;113751900;321;1;14;;;485;
138;1000000001475;9;9;329825;39194065;153;2;30;;;167;
139;1000000001476;1;1;541424;64348900;217;1;32;;;274;
139;1000000001477;2;2;658341;78256665;145;2;9;;;333;
140;1000000001478;3;3;619114;73605080;273;1;34;;;313;
140;1000000001479;4;4;827222;98361670;415;2;50;;;418;
141;1000000001480;5;5;326700;38852550;82;1;19;;;165;
141;1000000001481;6;6;895412;106502500;52;2;49;;;452;
142;1000000001482;7;7;263606;31358740;45;1;14;;;133;
142;1000000001483;8;8;563172;67005540;153;2;14;;;284;
143;1000000001484;9;9;628928;74840530;300;1;28;;;317;
143;1000000001485;1;1;664975;79142075;183;2;50;;;335;
144;1000000001486;2;2;548136;65246400;194;1;55;;;276;
144;1000000001487;3;3;313946;37375690;127;2;1;;;158;
145;1000000001488;4;4;542724;64621830;241;1;38;;;273;
145;1000000001489;5;5;521118;62058630;119;2;26;;;262;
146;1000000001490;6;6;893510;106421980;443;1;44;;;449;
146;1000000001491;7;7;224983;26800775;109;2;12;;;113;
147;1000000001492;8;8;380472;45330030;169;1;15;;;191;
147;1000000001493;9;9;522166;62221070;15;2;31;;;262;
148;1000000001494;1;1;729804;86976240;216;1;54;;;366;
148;1000000001495;2;2;600495;71576295;292;2;18;;;301;
149;1000000001496;3;3;283432;33788900;46;1;7;;;142;
149;1000000001497;4;4;768845;91670425;262;2;50;;;385;
150;1000000001498;5;5;959040;114364800;446;1;91;;;480;
150;1000000001499;6;6;215892;25748820;28;2;17;;;108;
1;1000000001500;7;7;988000;117853580;302;1;69;;;494;
1;1000000001501;8;8;404202;48222450;97;2;30;;;202;
2;1000000001502;9;9;844844;100807360;330;1;80;;;422;
2;1000000001503;1;1;498747;59519715;147;2;29;;;249;
3;1000000001504;2;2;905808;108113880;179;1;72;;;452;
3;1000000001505;3;3;667665;79701885;204;2;46;;;333;
4;1000000001506;4;4;910724;108733000;406;1;40;;;454;
4;1000000001507;5;5;614142;73334430;254;2;55;;;306;
5;1000000001508;6;6;212848;25419860;59;1;13;;;106;
5;1000000001509;7;7;411845;49192825;33;2;8;;;205;
6;1000000001510;8;8;323610;38659320;9;1;3;;;161;
6;1000000001511;9;9;764180;91304500;188;2;19;;;380;
7;1000000001512;1;1;702188;83910070;175;1;48;;;349;
7;1000000001513;2;2;817278;97677510;22;2;4;;;406;
8;1000000001514;3;3;453150;54166500;187;1;2;;;225;
8;1000000001515;4;4;612560;73232080;152;2;9;;;304;
9;1000000001516;5;5;659232;78823350;227;1;19;;;327;
9;1000000001517;6;6;544590;65125350;44;2;24;;;270;
10;1000000001518;7;7;383420;45858400;136;1;3;;;190;
10;1000000001519;8;8;967101;115685685;93;2;62;;;479;
11;1000000001520;9;9;252500;30208750;27;1;25;;;125;
11;1000000001521;1;1;798295;95520875;111;2;71;;;395;
12;1000000001522;2;2;748140;89532600;347;1;37;;;370;
12;1000000001523;3;3;673659;80630955;143;2;49;;;333;
13;1000000001524;4;4;475640;56938150;105;1;2;;;235;
13;1000000001525;5;5;372600;44609880;26;2;11;;;184;
14;1000000001526;6;6;575384;68898400;95;1;11;;;284;
14;1000000001527;7;7;474318;56804670;44;2;44;;;234;
15;1000000001528;8;8;628680;75302100;250;1;6;;;310;
15;1000000001529;9;9;795368;95281480;55;2;35;;;392;
16;1000000001530;1;1;288260;34537240;64;1;14;;;142;
16;1000000001531;2;2;379797;45511125;138;2;28;;;187;
17;1000000001532;3;3;959104;114946160;268;1;4;;;472;
17;1000000001533;4;4;552976;66282320;65;2;32;;;272;
18;1000000001534;5;5;213570;25603200;34;1;6;;;105;
18;1000000001535;6;6;533170;63926690;61;2;47;;;262;
19;1000000001536;7;7;732960;87894000;264;1;18;;;360;
19;1000000001537;8;8;659988;79154820;295;2;42;;;324;
20;1000000001538;9;9;425942;51092140;186;1;22;;;209;
20;1000000001539;1;1;552569;66290665;18;2;13;;;271;
21;1000000001540;2;2;648720;77836860;103;1;19;;;318;
21;1000000001541;3;3;404118;48495150;16;2;17;;;198;
22;1000000001542;4;4;651398;78180520;95;1;22;;;319;
22;1000000001543;5;5;651717;78229965;0;2;22;;;319;
23;1000000001544;6;6;876876;105272310;180;1;30;;;429;
23;1000000001545;7;7;568510;68261510;125;2;52;;;278;
24;1000000001546;8;8;472626;56756700;116;1;39;;;231;
24;1000000001547;9;9;745108;89491220;47;2;47;;;364;
25;1000000001548;1;1;669696;80445270;196;1;26;;;327;
25;1000000001549;2;2;817551;98219835;46;2;15;;;399;
26;1000000001550;3;3;967600;116263040;190;1;37;;;472;
26;1000000001551;4;4;728105;87498625;94;2;56;;;355;
27;1000000001552;5;5;812592;97665480;390;1;35;;;396;
27;1000000001553;6;6;989546;118950370;442;2;38;;;482;
28;1000000001554;7;7;784628;94331080;98;1;22;;;382;
28;1000000001555;8;8;435660;52384140;114;2;42;;;212;
29;1000000001556;9;9;859408;103350500;201;1;20;;;418;
29;1000000001557;1;1;824857;99209405;348;2;24;;;401;
30;1000000001558;2;2;255192;30697440;82;1;13;;;124;
30;1000000001559;3;3;321204;38643540;112;2;28;;;156;
31;1000000001560;4;4;906400;109062800;335;1;83;;;440;
31;1000000001561;5;5;651276;78375900;189;2;9;;;316;
32;1000000001562;6;6;509314;61300460;94;1;7;;;247;
32;1000000001563;7;7;637467;76735515;189;2;40;;;309;
33;1000000001564;8;8;716208;86226030;63;1;38;;;347;
33;1000000001565;9;9;840455;101198515;277;2;24;;;407;
34;1000000001566;1;1;206600;24880000;72;1;4;;;100;
34;1000000001567;2;2;432003;52031595;179;2;6;;;209;
35;1000000001568;3;3;394988;47580010;170;1;26;;;191;
35;1000000001569;4;4;831738;100204530;350;2;40;;;402;
36;1000000001570;5;5;536130;64599780;123;1;41;;;259;
36;1000000001571;6;6;987867;119047275;149;2;9;;;477;
37;1000000001572;7;7;859880;103637950;234;1;12;;;415;
37;1000000001573;8;8;246687;29736315;105;2;8;;;119;
38;1000000001574;9;9;725900;87514000;98;1;42;;;350;
38;1000000001575;1;1;682675;82314155;249;2;6;;;329;
39;1000000001576;2;2;325932;39304950;7;1;14;;;157;
39;1000000001577;3;3;380091;45842415;49;2;20;;;183;
40;1000000001578;4;4;590152;71187440;11;1;2;;;284;
40;1000000001579;5;5;1004157;121143645;458;2;43;;;483;
41;1000000001580;6;6;241280;29112520;115;1;3;;;116;
41;1000000001581;7;7;668001;80611125;293;2;12;;;321;
42;1000000001582;8;8;978540;118101600;216;1;47;;;470;
42;1000000001583;9;9;647813;78196285;144;2;27;;;311;
43;1000000001584;1;1;318852;38493270;147;1;18;;;153;
43;1000000001585;2;2;696390;84082830;214;2;23;;;334;
44;1000000001586;3;3;669606;80859900;259;1;32;;;321;
44;1000000001587;4;4;246266;29742490;112;2;16;;;118;
45;1000000001588;5;5;246384;29760780;99;1;9;;;118;
45;1000000001589;6;6;438690;52996650;50;2;4;;;210;
46;1000000001590;7;7;702240;84846720;219;1;63;;;336;
46;1000000001591;8;8;338742;40933350;33;2;27;;;162;
47;1000000001592;9;9;282420;34132050;74;1;10;;;135;
47;1000000001593;1;1;1004640;121432800;448;2;91;;;480;
48;1000000001594;2;2;720336;87080160;240;1;68;;;344;
48;1000000001595;3;3;351960;42553560;74;2;8;;;168;
49;1000000001596;4;4;750368;90735100;47;1;35;;;358;
49;1000000001597;5;5;855576;103470840;181;2;61;;;408;
50;1000000001598;6;6;675556;81710720;172;1;41;;;322;
50;1000000001599;7;7;881580;106644300;210;2;63;;;420;
51;1000000001600;8;8;913500;110520450;47;1;78;;;435;
51;1000000001601;9;9;937046;113384350;153;2;71;;;446;
52;1000000001602;1;1;313198;37902620;88;1;1;;;149;
52;1000000001603;2;2;769698;93159810;160;2;62;;;366;
53;1000000001604;3;3;401864;48645790;31;1;3;;;191;
53;1000000001605;4;4;317855;38481595;131;2;16;;;151;
54;1000000001606;5;5;416988;50490000;186;1;21;;;198;
54;1000000001607;6;6;484610;58685650;181;2;6;;;230;
55;1000000001608;7;7;453220;54891650;29;1;38;;;215;
55;1000000001609;8;8;835164;101164140;168;2;15;;;396;
56;1000000001610;9;9;489520;59303840;128;1;18;;;232;
56;1000000001611;1;1;713518;86451950;242;2;67;;;338;
57;1000000001612;2;2;882816;106978740;138;1;79;;;418;
57;1000000001613;3;3;893799;108323955;359;2;21;;;423;
58;1000000001614;4;4;786408;95321280;368;1;33;;;372;
58;1000000001615;5;5;975015;118198095;446;2;59;;;461;
59;1000000001616;6;6;622104;75425700;202;1;2;;;294;
59;1000000001617;7;7;370475;44923375;173;2;17;;;175;
60;1000000001618;8;8;569742;69095340;13;1;34;;;269;
60;1000000001619;9;9;235209;28528665;94;2;12;;;111;
61;1000000001620;1;1;758960;92066860;253;1;46;;;358;
61;1000000001621;2;2;649026;78741450;9;2;3;;;306;
62;1000000001622;3;3;471084;57160560;221;1;39;;;222;
62;1000000001623;4;4;685729;83216105;22;2;16;;;323;
63;1000000001624;5;5;263376;31965960;69;1;24;;;124;
63;1000000001625;6;6;344250;41787090;6;2;8;;;162;
64;1000000001626;7;7;635674;77171900;84;1;17;;;299;
64;1000000001627;8;8;367971;44678115;131;2;31;;;173;
65;1000000001628;9;9;551152;66928190;140;1;36;;;259;
65;1000000001629;1;1;909083;110407255;376;2;76;;;427;
66;1000000001630;2;2;662430;80461920;79;1;43;;;311;
66;1000000001631;3;3;869448;105621000;271;2;73;;;408;
67;1000000001632;4;4;827216;100503640;354;1;42;;;388;
67;1000000001633;5;5;558846;67906470;95;2;23;;;262;
68;1000000001634;6;6;550572;66909720;124;1;18;;;258;
68;1000000001635;7;7;520940;63316780;29;2;29;;;244;
69;1000000001636;8;8;228552;27782550;84;1;7;;;107;
69;1000000001637;9;9;965924;117431860;414;2;54;;;452;
70;1000000001638;1;1;979204;119061680;453;1;41;;;458;
70;1000000001639;2;2;626727;76213695;169;2;35;;;293;
71;1000000001640;3;3;286760;34876180;90;1;6;;;134;
71;1000000001641;4;4;927053;112764025;282;2;30;;;433;
72;1000000001642;5;5;368424;44819760;89;1;25;;;172;
72;1000000001643;6;6;465031;56579495;204;2;6;;;217;
73;1000000001644;7;7;988384;120270290;434;1;69;;;461;
73;1000000001645;8;8;999570;121646970;270;2;13;;;466;
74;1000000001646;9;9;675990;82278000;294;1;56;;;315;
74;1000000001647;1;1;1009090;122836850;10;2;9;;;470;
75;1000000001648;2;2;625068;76099410;69;1;23;;;291;
75;1000000001649;3;3;777938;94722730;179;2;36;;;362;
76;1000000001650;4;4;621350;75665980;75;1;11;;;289;
76;1000000001651;5;5;858249;104528025;352;2;23;;;399;
77;1000000001652;6;6;531544;64746110;63;1;37;;;247;
77;1000000001653;7;7;566239;68980955;68;2;28;;;263;
78;1000000001654;8;8;943452;114948720;299;1;70;;;438;
78;1000000001655;9;9;362040;44115960;53;2;15;;;168;
79;1000000001656;1;1;676984;82503500;48;1;6;;;314;
79;1000000001657;2;2;886527;108053955;240;2;28;;;411;
80;1000000001658;3;3;479076;58399320;5;1;31;;;222;
80;1000000001659;4;4;323850;39482250;33;2;15;;;150;
81;1000000001660;5;5;1017360;124047270;187;1;65;;;471;
81;1000000001661;6;6;866561;105673525;170;2;64;;;401;
82;1000000001662;7;7;227010;27686400;81;1;4;;;105;
82;1000000001663;8;8;421785;51447825;182;2;7;;;195;
83;1000000001664;9;9;569132;69429370;242;1;18;;;263;
83;1000000001665;1;1;985075;120185975;397;2;31;;;455;
84;1000000001666;2;2;690954;84311700;99;1;57;;;319;
84;1000000001667;3;3;699941;85418965;28;2;22;;;323;
85;1000000001668;4;4;470456;57420370;116;1;19;;;217;
85;1000000001669;5;5;906642;110671770;61;2;8;;;418;
86;1000000001670;6;6;590240;72058240;267;1;2;;;272;
86;1000000001671;7;7;972608;118753600;202;2;62;;;448;
87;1000000001672;8;8;875316;106887690;3;1;20;;;403;
87;1000000001673;9;9;1064770;130038650;99;2;88;;;490;
88;1000000001674;1;1;402190;49124900;155;1;27;;;185;
88;1000000001675;2;2;983100;120094140;187;2;63;;;452;
89;1000000001676;3;3;226304;27648400;57;1;8;;;104;
89;1000000001677;4;4;306957;37506705;128;2;12;;;141;
90;1000000001678;5;5;670824;81977280;125;1;52;;;308;
90;1000000001679;6;6;655879;80160815;214;2;39;;;301;
91;1000000001680;7;7;364060;44500490;70;1;20;;;167;
91;1000000001681;8;8;636852;77854500;263;2;17;;;292;
92;1000000001682;9;9;759336;92839440;311;1;3;;;348;
92;1000000001683;1;1;425685;52052325;177;2;21;;;195;
93;1000000001684;2;2;749112;91611870;252;1;65;;;343;
93;1000000001685;3;3;867445;106096265;9;2;71;;;397;
94;1000000001686;4;4;754170;92253000;6;1;37;;;345;
94;1000000001687;5;5;802629;98192685;211;2;18;;;367;
95;1000000001688;6;6;820500;100391250;262;1;60;;;375;
95;1000000001689;7;7;862466;105538810;368;2;78;;;394;
96;1000000001690;8;8;994260;121681080;89;1;18;;;454;
96;1000000001691;9;9;554323;67848275;10;2;40;;;253;
97;1000000001692;1;1;434016;53129340;30;1;29;;;198;
97;1000000001693;2;2;245616;30070320;109;2;4;;;112;
98;1000000001694;3;3;340070;41639200;54;1;1;;;155;
98;1000000001695;4;4;581675;71230675;179;2;18;;;265;
99;1000000001696;5;5;1069452;130978650;31;1;97;;;487;
99;1000000001697;6;6;336141;41173065;142;2;18;;;153;
100;1000000001698;7;7;887992;108781040;350;1;4;;;404;
100;1000000001699;8;8;894993;109651905;92;2;32;;;407;
101;1000000001700;9;9;994400;121845640;146;1;31;;;452;
101;1000000001701;1;1;946430;115981750;422;2;60;;;430;
102;1000000001702;2;2;933648;114429120;130;1;46;;;424;
102;1000000001703;3;3;819516;100453020;210;2;74;;;372;
103;1000000001704;4;4;775808;95106880;332;1;63;;;352;
103;1000000001705;5;5;445410;54609690;201;2;8;;;202;
104;1000000001706;6;6;972846;119290500;118;1;48;;;441;
104;1000000001707;7;7;333257;40868905;63;2;3;;;151;
105;1000000001708;8;8;733056;89908920;262;1;59;;;332;
105;1000000001709;9;9;543414;66657390;229;2;27;;;246;
106;1000000001710;1;1;797810;97874320;84;1;61;;;361;
106;1000000001711;2;2;979473;120174825;401;2;57;;;443;
107;1000000001712;3;3;318528;39085920;115;1;8;;;144;
107;1000000001713;4;4;473582;58119190;91;2;34;;;214;
108;1000000001714;5;5;1060506;130163460;118;1;38;;;479;
108;1000000001715;6;6;493945;60632585;158;2;28;;;223;
109;1000000001716;7;7;899696;110452300;334;1;81;;;406;
109;1000000001717;8;8;1081896;132836040;3;2;9;;;488;
110;1000000001718;9;9;873892;107309840;165;1;47;;;394;
110;1000000001719;1;1;872067;107098395;143;2;78;;;393;
111;1000000001720;2;2;990120;121610820;405;1;71;;;446;
111;1000000001721;3;3;344255;42287875;97;2;13;;;155;
112;1000000001722;4;4;708818;87080620;130;1;15;;;319;
112;1000000001723;5;5;626886;77024070;136;2;19;;;282;
113;1000000001724;6;6;760608;93465180;97;1;54;;;342;
113;1000000001725;7;7;872200;107190440;272;2;27;;;392;
114;1000000001726;8;8;625506;76881600;276;1;8;;;281;
114;1000000001727;9;9;705959;86780335;236;2;41;;;317;
115;1000000001728;1;1;269588;33143110;8;1;3;;;121;
115;1000000001729;2;2;450258;55361130;117;2;40;;;202;
116;1000000001730;3;3;943290;115995060;414;1;59;;;423;
116;1000000001731;4;4;548826;67496250;133;2;24;;;246;
117;1000000001732;5;5;781200;96085500;233;1;70;;;350;
117;1000000001733;6;6;357280;43949600;153;2;4;;;160;
118;1000000001734;7;7;538394;66236440;186;1;28;;;241;
118;1000000001735;8;8;333015;40974255;34;2;1;;;149;
119;1000000001736;9;9;503100;61908750;211;1;27;;;225;
119;1000000001737;1;1;404897;49830205;25;2;1;;;181;
120;1000000001738;2;2;966816;118998720;108;1;56;;;432;
120;1000000001739;3;3;1003072;123475520;309;2;58;;;448;
121;1000000001740;4;4;759360;93486030;40;1;3;;;339;
121;1000000001741;5;5;1057752;130236600;458;2;23;;;472;
122;1000000001742;6;6;973028;119818720;415;1;34;;;434;
122;1000000001743;7;7;720003;88671435;134;2;9;;;321;
123;1000000001744;8;8;897600;110556000;104;1;76;;;400;
123;1000000001745;9;9;489410;60286810;214;2;41;;;218;
124;1000000001746;1;1;786100;96845000;100;1;56;;;350;
124;1000000001747;2;2;739263;91085295;308;2;9;;;329;
125;1000000001748;3;3;404640;49861800;12;1;7;;;180;
125;1000000001749;4;4;1030042;126941570;405;2;32;;;458;
126;1000000001750;5;5;427500;52690800;179;1;11;;;190;
126;1000000001751;6;6;254363;31354675;49;2;13;;;113;
127;1000000001752;7;7;632812;78014030;207;1;19;;;281;
127;1000000001753;8;8;265854;32778630;39;2;22;;;118;
128;1000000001754;9;9;261464;32241040;99;1;16;;;116;
128;1000000001755;1;1;1014750;125142750;365;2;85;;;450;
129;1000000001756;2;2;455712;56206500;35;1;16;;;202;
129;1000000001757;3;3;243756;30067740;23;2;4;;;108;
130;1000000001758;4;4;907716;111981120;391;1;56;;;402;
130;1000000001759;5;5;637038;78597630;137;2;42;;;282;
131;1000000001760;6;6;811340;100114330;343;1;25;;;359;
131;1000000001761;7;7;547162;67524050;155;2;31;;;242;
132;1000000001762;8;8;239772;29593080;68;1;12;;;106;
132;1000000001763;9;9;1083977;133801465;61;2;95;;;479;
133;1000000001764;1;1;772024;95306090;17;1;13;;;341;
133;1000000001765;2;2;1039635;128357055;203;2;59;;;459;
134;1000000001766;3;3;312708;38612400;6;1;5;;;138;
134;1000000001767;4;4;240302;29675230;78;2;16;;;106;
135;1000000001768;5;5;512568;63304860;191;1;2;;;226;
135;1000000001769;6;6;626244;77353140;108;2;30;;;276;
136;1000000001770;7;7;576580;71226680;91;1;27;;;254;
136;1000000001771;8;8;1012866;125136450;346;2;57;;;446;
137;1000000001772;9;9;518016;64006440;111;1;45;;;228;
137;1000000001773;1;1;868286;107298070;352;2;38;;;382;
138;1000000001774;2;2;334278;41312880;8;1;17;;;147;
138;1000000001775;3;3;1028300;127100140;102;2;9;;;452;
139;1000000001776;4;4;796600;98472500;293;1;21;;;350;
139;1000000001777;5;5;1047420;129492300;414;2;27;;;460;
140;1000000001778;6;6;829192;102524240;245;1;47;;;364;
140;1000000001779;7;7;624446;77217310;156;2;46;;;274;
141;1000000001780;8;8;848160;104892840;54;1;63;;;372;
141;1000000001781;9;9;285125;35265625;26;2;10;;;125;
142;1000000001782;1;1;1031464;127590560;268;1;58;;;452;
142;1000000001783;2;2;970275;120034875;241;2;12;;;425;
143;1000000001784;3;3;787980;97493550;83;1;41;;;345;
143;1000000001785;4;4;984835;121863095;114;2;81;;;431;
144;1000000001786;5;5;1030986;127587900;131;1;76;;;451;
144;1000000001787;6;6;532871;65951815;54;2;44;;;233;
145;1000000001788;7;7;599456;74201020;154;1;15;;;262;
145;1000000001789;8;8;753081;93227085;182;2;13;;;329;
146;1000000001790;9;9;565630;70029440;34;1;39;;;247;
146;1000000001791;1;1;1067606;132192550;14;2;69;;;466;
147;1000000001792;2;2;469860;58185150;110;1;34;;;205;
147;1000000001793;3;3;431084;53389180;136;2;35;;;188;
148;1000000001794;4;4;979538;121327780;85;1;21;;;427;
148;1000000001795;5;5;507195;62829195;77;2;37;;;221;
149;1000000001796;6;6;445424;55183300;50;1;38;;;194;
149;1000000001797;7;7;1026759;127218435;292;2;49;;;447;
150;1000000001798;8;8;432024;53534880;0;1;20;;;188;
150;1000000001799;9;9;496584;61541640;127;2;43;;;216;
1;1000000001800;1;1;1083300;134267970;420;1;61;;;471;
1;1000000001801;2;2;239304;29663400;21;2;10;;;104;
2;1000000001802;3;3;262428;32533320;35;1;7;;;114;
2;1000000001803;4;4;497448;61675560;11;2;41;;;216;
3;1000000001804;5;5;935424;115990140;333;1;81;;;406;
3;1000000001805;6;6;414900;51452100;31;2;19;;;180;
4;1000000001806;7;7;507320;62920000;23;1;2;;;220;
4;1000000001807;8;8;486777;60378705;110;2;25;;;211;
